site,tree,year,perc_C,d13C_permil
ART,ART1,2023,43.2,-27.6
ART,ART3,2023,40.3,-27.3
ART,ART6,2023,41.1,-28.2
ART,ART4,2023,39.8,-28.5
ART,ART5,2023,40.6,-26.5
BER,BER1,2023,40.9,-27.7
BER,BER2,2023,41.6,-26.8
BER,BER3,2023,41.3,-27.3
BER,BER4,2023,40.5,-26
BER,BER5,2023,38.6,-26.4
BER,BER6,2023,38.9,-27.4
DIU,DIU1,2023,40.7,-26.1
DIU,DIU2,2023,41.6,-28.6
DIU,DIU3,2023,40.6,-26.1
DIU,DIU4,2023,40.2,-24.6
DIU,DIU5,2023,41.3,-26
DIU,DIU6,2023,40.6,-25.4
HMO,HM1,2023,40.3,-26.9
HMO,HM2,2023,40.8,-25.3
HMO,HM3,2023,79.8,-25.5
HMO,HM4,2023,39.5,-25.8
HMO,HM5,2023,41,-25.7
ITU,ITU1,2023,39.9,-28.6
ITU,ITU2,2023,42.5,-27.4
ITU,ITU3,2023,42,-26.7
ITU,ITU4,2023,42.6,-28.2
ITU,ITU5,2023,40.4,-27.7
ITU,ITU6,2023,41.4,-28.3
MSA,MSA1,2022,41.3,-24.8
MSA,MSA2,2022,40.5,-26
MSA,MSA3,2022,40.6,-25.6
MSA,MSA4,2022,41.3,-25
MSA,MSA5,2022,39,-25.7
MSA,MSA6,2022,42.2,-25.1
MSA,MSA7,2022,41.9,-23.7
MSA,MSA1,2023,41.1,-27.7
MSA,MSA2,2023,38.8,-26.1
MSA,MSA3,2023,42.9,-25.8
MSA,MSA4,2023,40.3,-25.5
MSA,MSA5,2023,38.8,-26.3
MSA,MSA6,2023,42.8,-25.2
MSA,MSA7,2023,41.5,-24.3
