site,tree,campaign,sampling_date,d15N_base_phloem,d13C_base_phloem,,,,,
MSA,MSA1,spring23,20230531,2.7360688,-26.6375743,-25.62241998,,,,
MSA,MSA2,spring23,20230530,-1.1878437,NA,0.591872383,,,,
MSA,MSA3,spring23,20230531,2.9250215,-25.275046,,,,,
MSA,MSA4,spring23,20230601,1.7920887,-25.1721696,,,,,
MSA,MSA5,spring23,20230531,4.2633981,-25.40489,,,,,
MSA,MSA6,spring23,20230601,1.6524667,NA,,,,,
ART,ART1,spring23,20230607,4.0918625,-26.6693708,,,,,
ART,ART2,spring23,20230607,2.27179,-27.8729248,,,,,
ART,ART3,spring23,20230607,1.8808484,-26.7862304,,,,,
ART,ART4,spring23,20230607,0.725975,-27.2167132,,,,,
ART,ART5,spring23,20230607,0.9882649,-26.7892268,,,,,
ART,ART1,spring23,20230607,-1.8939321,-32.9887784,,,,,
ART,ART2,spring23,20230607,-1.8729888,-31.2958124,,,,,
ART,ART3,spring23,20230607,-2.4603985,-32.6701612,,,,,
ART,ART4,spring23,20230607,-2.5172446,-31.6663672,,,,,
ART,ART5,spring23,20230607,-4.3722226,-32.7590544,,,,,
BER,BER1,spring23,20230608,0.6302342,-28.9426396,,,,,
BER,BER2,spring23,20230608,0.7708535,-27.6132368,,,,,
BER,BER3,spring23,20230608,0.8536294,-28.4272588,,,,,
BER,BER4,spring23,20230608,4.4478986,-25.8723284,,,,,
BER,BER5,spring23,20230608,3.0387137,-26.9799976,,,,,
BER,BER6,spring23,20230608,0.4407472,-27.5632968,,,,,
BER,BER1,spring23,20230608,-1.9916675,-32.4044804,,,,,
BER,BER2,spring23,20230608,-2.2350087,-30.2850268,,,,,
BER,BER3,spring23,20230608,-2.9969459,-33.1326056,,,,,
BER,BER4,spring23,20230608,-3.2412844,-31.652384,,,,,
BER,BER5,spring23,20230608,-1.0412406,-33.030728,,,,,
BER,BER6,spring23,20230608,-3.9503647,-32.7470688,,,,,
ITU,ITU1,spring23,20230606,1.463977,-26.7302976,,,,,
ITU,ITU2,spring23,20230606,-1.2795953,-28.0726848,,,,,
ITU,ITU3,spring23,20230606,0.6053017,-27.6162332,,,,,
ITU,ITU4,spring23,20230606,1.5028717,-27.5383268,,,,,
ITU,ITU5,spring23,20230606,1.9456729,-26.688348,,,,,
ITU,ITU6,spring23,20230606,-0.779948,-28.2294964,,,,,
ITU,ITU1,spring23,20230606,-2.6558693,-32.1328068,,,,,
ITU,ITU2,spring23,20230606,-3.173468,-32.7330856,,,,,
ITU,ITU3,spring23,20230606,-4.7053208,-33.3483464,,,,,
ITU,ITU4,spring23,20230606,-4.3642442,-32.9588144,,,,,
ITU,ITU5,spring23,20230606,-1.6505909,-31.442636,,,,,
ITU,ITU6,spring23,20230606,-1.6625585,-31.7652484,,,,,
DIU,DIU1,spring23,20230615,1.2994225,-25.4088852,,,,,
DIU,DIU2,spring23,20230615,2.4971798,-26.7672532,,,,,
DIU,DIU3,spring23,20230615,2.1536032,-26.2516252,,,,,
