date,season,site,id_plant,light_exposure,organ,peso_mg,n_percent,15n_air_permil,c_percent,13c_vpvd
20230606,spring,itu,1,shl,leaf,2.529,2.353783556,-3.8904428,48.44100503,-31.6935666
20230606,spring,itu,2,shl,leaf,2.429,2.657178682,-4.4911512,47.35640223,-31.9259295
20230606,spring,itu,3,shl,leaf,2.437,2.76885665,-4.2069234,49.09721589,-33.6963135
20230606,spring,itu,4,shl,leaf,2.39,2.597483604,-2.457209,49.17776625,-31.8072333
20230606,spring,itu,5,shl,leaf,2.465,2.909429031,-3.4227772,48.39589868,-30.3708081
20230606,spring,itu,6,shl,leaf,2.502,2.406165985,-3.0024829,48.71850729,-30.562935
20230608,spring,ber,1,shl,leaf,2.376,2.189631125,-2.003654,48.92630364,-32.001372
20230608,spring,ber,2,shl,leaf,2.457,1.829877025,-2.5801728,48.05770972,-31.0186077
20230608,spring,ber,3,shl,leaf,2.421,1.855562152,-2.6527416,49.55751858,-31.9420239
20230608,spring,ber,4,shl,leaf,2.548,2.520177275,-1.0733623,48.89120057,-32.0184723
20230608,spring,ber,5,shl,leaf,2.415,2.139347314,-0.7488185,49.28489657,-33.3201069
20230608,spring,ber,6,shl,leaf,2.453,1.999204486,-2.2405105,47.7410404,-33.0817086
20230607,spring,art,1,shl,leaf,2.598,2.577373873,-3.5024013,49.34633755,-32.9388708
20230607,spring,art,2,shl,leaf,2.497,2.78730433,-3.6021834,48.74096836,-31.5829176
20230607,spring,art,3,shl,leaf,2.474,2.009877245,-2.7484921,48.83974601,-32.5274577
20230607,spring,art,4,shl,leaf,2.471,2.450795418,-2.5932755,49.71676736,-32.5636701
20230607,spring,art,5,shl,leaf,2.49,2.504322419,-2.9067324,49.19747168,-32.9640183
20230615,spring,diu,1,shl,leaf,2.46,2.971799841,0.4868669,48.34665442,-29.8678581
20230615,spring,diu,2,shl,leaf,2.468,2.15972332,-1.0209515,48.24607024,-30.8878407
20230615,spring,diu,3,shl,leaf,2.545,2.190191396,-1.0713465,47.909661,-30.0871443
20230615,spring,diu,4,shl,leaf,2.39,2.396449319,-1.3172741,47.85632785,-30.2843007
20230615,spring,diu,5,shl,leaf,2.451,2.56317864,-0.6369416,48.43026672,-31.4451093
20230615,spring,diu,6,shl,leaf,2.578,2.9135841,-1.5228857,47.73278927,-30.1334157
20230829,summer,itu,1,shl,leaf,2.396,2.2440412,-3.9117986,45.88123204,-32.4243468
20230829,summer,itu,2,shl,leaf,2.495,2.5970332,-4.773143,48.40644343,-33.3527086
20230829,summer,itu,3,shl,leaf,2.491,2.4949769,-4.5371306,48.13016973,-33.751441
20230829,summer,itu,4,shl,leaf,2.494,2.4040898,-1.3196966,48.88988859,-31.0650318
20230829,summer,itu,5,shl,leaf,2.532,2.7633464,-4.5603284,48.32475295,-32.0034626
20230829,summer,itu,6,shl,leaf,2.466,2.7148866,-3.9249104,49.12379687,-30.8415
20230830,summer,ber,1,shl,leaf,2.613,2.0421603,-2.150783,49.91445436,-32.4414641
20230830,summer,ber,2,shl,leaf,2.42,1.9552635,-2.2839182,49.369617,-31.8101378
20230830,summer,ber,3,shl,leaf,2.421,1.8782057,-3.0918068,49.88834537,-31.4567159
20230830,summer,ber,4,shl,leaf,2.472,2.4900569,-0.8910416,49.31847078,-32.9569969
20230830,summer,ber,5,shl,leaf,2.475,2.3547942,-0.799259,49.65831601,-34.1149319
20230830,summer,ber,6,shl,leaf,2.528,2.1379634,-2.619782,48.13363761,-33.4614538
20230831,summer,art,1,shl,leaf,2.546,2.258309978,-3.5144102,47.28814121,-33.6175233
20230831,summer,art,2,shl,leaf,2.553,2.263101962,-3.1160132,50.66976516,-32.4464986
20230831,summer,art,3,shl,leaf,2.479,2.196984153,-2.9859038,50.34438803,-32.8109964
20230831,summer,art,4,shl,leaf,2.43,2.229112229,-2.8961384,49.60644018,-33.3839225
20230831,summer,art,6,shl,leaf,2.611,2.550419266,-3.1482884,50.2405242,-32.9338382
20230901,summer,diu,1,shl,leaf,2.524,2.112560792,-0.7195796,48.34914238,-29.2938947
20230901,summer,diu,2,shl,leaf,2.453,2.184720592,-1.5224252,47.5687301,-30.3612087
20230901,summer,diu,3,shl,leaf,2.572,2.10271901,-1.0877186,47.37611005,-29.7026961
20230901,summer,diu,4,shl,leaf,2.449,2.654056137,-0.9949274,47.49155783,-29.9886557
20230901,summer,diu,5,shl,leaf,2.492,2.247825529,-0.4502834,47.3215967,-31.2190875
20230901,summer,diu,6,shl,leaf,2.51,2.441728514,-1.9056932,47.1381168,-30.2081599
20230607,spring,art,1,shl,sph,,,-1.8939321,,-32.9887784
20230607,spring,art,2,shl,sph,,,-1.8729888,,-31.2958124
20230607,spring,art,3,shl,sph,,,-2.4603985,,-32.6701612
20230607,spring,art,4,shl,sph,,,-2.5172446,,-31.6663672
20230607,spring,art,5,shl,sph,,,-4.3722226,,-32.7590544
20230608,spring,ber,1,shl,sph,,,-1.9916675,,-32.4044804
20230608,spring,ber,2,shl,sph,,,-2.2350087,,-30.2850268
20230608,spring,ber,3,shl,sph,,,-2.9969459,,-33.1326056
20230608,spring,ber,4,shl,sph,,,-3.2412844,,-31.652384
20230608,spring,ber,5,shl,sph,,,-1.0412406,,-33.030728
20230608,spring,ber,6,shl,sph,,,-3.9503647,,-32.7470688
20230606,spring,itu,1,shl,sph,,,-2.6558693,,-32.1328068
20230606,spring,itu,2,shl,sph,,,-3.173468,,-32.7330856
20230606,spring,itu,3,shl,sph,,,-4.7053208,,-33.3483464
20230606,spring,itu,4,shl,sph,,,-4.3642442,,-32.9588144
20230606,spring,itu,5,shl,sph,,,-1.6505909,,-31.442636
20230606,spring,itu,6,shl,sph,,,-1.6625585,,-31.7652484
20230615,spring,diu,1,shl,sph,,,2.4433256,,-31.7203024
20230615,spring,diu,2,shl,sph,,,-0.0160162,,-31.0141508
20230615,spring,diu,3,shl,sph,,,-3.8685861,,-32.011952
20230615,spring,diu,4,shl,sph,,,-2.6309368,,-31.167966
20230615,spring,diu,5,shl,sph,,,-0.2892764,,-32.591256
20230615,spring,diu,6,shl,sph,,,-2.5022851,,-31.1399996
20230831,summer,art,1,shl,sph,,,-3.7229803,,-33.5960488
20230831,summer,art,2,shl,sph,,,-2.1602112,,-31.3067992
20230831,summer,art,3,shl,sph,,,-1.7652804,,-32.4234576
20230831,summer,art,4,shl,sph,,,-2.4913148,,-32.930848
20230831,summer,art,6,shl,sph,,,-0.8557428,,-32.6441924
20230830,summer,ber,1,shl,sph,,,-1.946789,,-33.1016428
20230830,summer,ber,2,shl,sph,,,-0.7240992,,-31.1549816
