site,tree,campaign,sampling_date,d13C_leaf_ph
MSA,MSA1,spring23,20230531,-26.17483004
MSA,MSA2,spring23,20230530,-26.17483004
MSA,MSA3,spring23,20230531,-26.83827605
MSA,MSA4,spring23,20230601,NA
MSA,MSA5,spring23,20230531,-25.68581588
MSA,MSA6,spring23,20230601,-25.68581588
ART,ART1,spring23,20230607,-29.54852358
ART,ART2,spring23,20230607,-29.54852358
ART,ART3,spring23,20230607,-29.54852358
ART,ART4,spring23,20230607,-29.54852358
ART,ART5,spring23,20230607,-29.54852358
BER,BER1,spring23,20230608,-29.48197732
BER,BER2,spring23,20230608,-28.07442317
BER,BER3,spring23,20230608,-29.48197732
BER,BER4,spring23,20230608,-28.56747044
BER,BER5,spring23,20230608,-28.56747044
BER,BER6,spring23,20230608,-30.69190926
ITU,ITU1,spring23,20230606,-28.46664278
ITU,ITU2,spring23,20230606,-28.46664278
ITU,ITU3,spring23,20230606,-28.46664278
ITU,ITU4,spring23,20230606,-28.46664278
ITU,ITU5,spring23,20230606,-28.46664278
ITU,ITU6,spring23,20230606,-28.46664278
DIU,DIU1,spring23,20230615,-25.75639524
DIU,DIU2,spring23,20230615,-25.75639524
DIU,DIU3,spring23,20230615,-27.19923908
DIU,DIU4,spring23,20230615,-26.86953262
DIU,DIU5,spring23,20230615,-25.75639524
DIU,DIU6,spring23,20230615,-25.75639524
MSA,MSA1,summer23,20230823,-27.61868215
MSA,MSA2,summer23,20230822,-27.61868215
MSA,MSA3,summer23,20230823,-27.61868215
MSA,MSA5,summer23,20230824,-27.61868215
MSA,MSA6,summer23,20230824,-27.61868215
MSA,MSA1,summer23b,20230904,-28.49285797
MSA,MSA2,summer23b,20230904,-28.49285797
MSA,MSA3,summer23b,20230904,-28.49285797
MSA,MSA4,summer23b,20230904,-28.49285797
MSA,MSA5,summer23b,20230904,-28.49285797
MSA,MSA6,summer23b,20230904,-28.49285797
ART,ART1,summer23,20230831,-29.7027899
ART,ART2,summer23,20230831,-29.7027899
ART,ART3,summer23,20230831,-29.7027899
ART,ART4,summer23,20230831,-29.7027899
ART,ART6,summer23,20230831,-29.7027899
BER,BER1,summer23,20230830,-28.46059312
BER,BER2,summer23,20230830,-28.46059312
BER,BER3,summer23,20230830,-28.46059312
BER,BER4,summer23,20230830,-29.52432494
BER,BER5,summer23,20230830,-29.73505475
BER,BER6,summer23,20230830,-28.46059312
ITU,ITU1,summer23,20230829,-28.53318903
ITU,ITU2,summer23,20230829,-28.53318903
ITU,ITU3,summer23,20230829,-28.53318903
ITU,ITU4,summer23,20230829,-28.53318903
ITU,ITU5,summer23,20230829,-28.53318903
ITU,ITU6,summer23,20230829,-28.53318903
DIU,DIU1,summer23,20230901,-27.53297863
DIU,DIU2,summer23,20230901,-27.22242944
DIU,DIU3,summer23,20230901,-27.53297863
DIU,DIU4,summer23,20230901,-27.71749325
DIU,DIU5,summer23,20230901,-27.74169189
DIU,DIU6,summer23,20230901,-27.74169189
HMO,HMO1,spring23,20230531,NA
HMO,HMO2,spring23,20230531,NA
HMO,HMO3,spring23,20230531,NA
HMO,HMO4,spring23,20230531,NA
HMO,HMO5,spring23,20230531,NA
HMO,HMO1,summer23,20230720,NA
HMO,HMO2,summer23,20230720,NA
HMO,HMO3,summer23,20230720,NA
HMO,HMO4,summer23,20230720,NA
HMO,HMO5,summer23,20230720,NA
HMO,HMO1,late_summer23,20230926,NA
HMO,HMO2,late_summer23,20230926,NA
HMO,HMO3,late_summer23,20230926,NA
HMO,HMO4,late_summer23,20230926,NA
HMO,HMO5,late_summer23,20230926,NA
