tree,col2,col3,col4,col5,col6,d15N_permil,d13C_permil
1,BPH,,trunk base,MSA,20230531,2.7360688,-26.6375743
2,BPH,,trunk base,MSA,20230530,-1.1878437,NA
3,BPH,,trunk base,MSA,20230531,2.9250215,-25.275046
4,BPH,,trunk base,MSA,20230601,1.7920887,-25.1721696
5,BPH,,trunk base,MSA,20230531,4.2633981,-25.40489
6,BPH,,trunk base,MSA,20230601,1.6524667,NA
1,SUN,SPH,stem sun,MSA,20230531,1.2894495,NA
1,SH,stem shade,stem shade,MSA,20230531,0.7618778,NA
1,SHL,stem shade,stem shade low,MSA,20230531,1.0979679,NA
2,SUN,SPH,stem sun,MSA,20230530,-1.6296476,NA
2,SH,stem shade,stem shade,MSA,20230530,-1.1549328,NA
2,SHL,stem shade,stem shade low,MSA,20230531,-1.258652,NA
3,SUN,SPH,stem sun,MSA,20230530,-2.4444417,NA
3,SH,stem shade,stem shade,MSA,20230531,0.1106409,-30.1451948
3,SHL,stem shade,stem shade low,MSA,20230531,-1.7144181,-32.5093544
4,SUN,SPH,stem sun,MSA,20230601,-2.7825264,NA
4,SH,stem shade,stem shade,MSA,20230601,-1.867005,-28.8567428
4,SHL,stem shade,stem shade low,MSA,20230601,-0.9614566,NA
5,SUN,SPH,stem sun,MSA,20230531,-4.5357798,NA
5,SH,stem shade,stem shade,MSA,20230531,-0.8956348,NA
5,SHL,stem shade,stem shade low,MSA,20230531,-0.4927256,-27.816992
6,SUN,SPH,stem sun,MSA,20230601,-4.0550812,-26.52854
6,SH,stem shade,stem shade,MSA,20230601,-1.8719915,-26.1509936
6,SHL,stem shade,stem shade low,MSA,20230601,-2.884251,-26.6743648
1,BPH,,trunk base,ART,20230607,4.0918625,-26.6693708
2,BPH,,trunk base,ART,20230607,2.27179,-27.8729248
3,BPH,,trunk base,ART,20230607,1.8808484,-26.7862304
4,BPH,,trunk base,ART,20230607,0.725975,-27.2167132
5,BPH,,trunk base,ART,20230607,0.9882649,-26.7892268
1,SPH,stem shade,stem shade low,ART,20230607,-1.8939321,-32.9887784
2,SPH,stem shade,stem shade low,ART,20230607,-1.8729888,-31.2958124
3,SPH,stem shade,stem shade low,ART,20230607,-2.4603985,-32.6701612
4,SPH,stem shade,stem shade low,ART,20230607,-2.5172446,-31.6663672
5,SPH,stem shade,stem shade low,ART,20230607,-4.3722226,-32.7590544
1,BPH,,trunk base,BER,20230608,0.6302342,-28.9426396
2,BPH,,trunk base,BER,20230608,0.7708535,-27.6132368
3,BPH,,trunk base,BER,20230608,0.8536294,-28.4272588
4,BPH,,trunk base,BER,20230608,4.4478986,-25.8723284
5,BPH,,trunk base,BER,20230608,3.0387137,-26.9799976
6,BPH,,trunk base,BER,20230608,0.4407472,-27.5632968
1,SPH,stem shade,stem shade low,BER,20230608,-1.9916675,-32.4044804
2,SPH,stem shade,stem shade low,BER,20230608,-2.2350087,-30.2850268
3,SPH,stem shade,stem shade low,BER,20230608,-2.9969459,-33.1326056
4,SPH,stem shade,stem shade low,BER,20230608,-3.2412844,-31.652384
5,SPH,stem shade,stem shade low,BER,20230608,-1.0412406,-33.030728
6,SPH,stem shade,stem shade low,BER,20230608,-3.9503647,-32.7470688
1,BPH,,trunk base,ITU,20230606,1.463977,-26.7302976
2,BPH,,trunk base,ITU,20230606,-1.2795953,-28.0726848
3,BPH,,trunk base,ITU,20230606,0.6053017,-27.6162332
4,BPH,,trunk base,ITU,20230606,1.5028717,-27.5383268
5,BPH,,trunk base,ITU,20230606,1.9456729,-26.688348
6,BPH,,trunk base,ITU,20230606,-0.779948,-28.2294964
1,SPH,stem shade,stem shade low,ITU,20230606,-2.6558693,-32.1328068
2,SPH,stem shade,stem shade low,ITU,20230606,-3.173468,-32.7330856
3,SPH,stem shade,stem shade low,ITU,20230606,-4.7053208,-33.3483464
4,SPH,stem shade,stem shade low,ITU,20230606,-4.3642442,-32.9588144
5,SPH,stem shade,stem shade low,ITU,20230606,-1.6505909,-31.442636
6,SPH,stem shade,stem shade low,ITU,20230606,-1.6625585,-31.7652484
1,BPH,,trunk base,DIU,20230615,1.2994225,-25.4088852
2,BPH,,trunk base,DIU,20230615,2.4971798,-26.7672532
3,BPH,,trunk base,DIU,20230615,2.1536032,-26.2516252
4,BPH,,trunk base,DIU,20230615,1.0271596,-25.5726884
5,BPH,,trunk base,DIU,20230615,1.7482075,-27.6132368
6,BPH,,trunk base,DIU,20230615,0.2542521,-27.1607804
1,SPH,stem shade,stem shade low,DIU,20230615,2.4433256,-31.7203024
2,SPH,stem shade,stem shade low,DIU,20230615,-0.0160162,-31.0141508
3,SPH,stem shade,stem shade low,DIU,20230615,-3.8685861,-32.011952
4,SPH,stem shade,stem shade low,DIU,20230615,-2.6309368,-31.167966
5,SPH,stem shade,stem shade low,DIU,20230615,-0.2892764,-32.591256
6,SPH,stem shade,stem shade low,DIU,20230615,-2.5022851,-31.1399996
1,BPH,,trunk base,MSA,20230823,1.1458383,-27.3565452
2,BPH,,trunk base,MSA,20230822,-2.4374606,-27.3115992
3,BPH,,trunk base,MSA,20230823,-0.3201927,-28.2434796
5,BPH,,trunk base,MSA,20230824,0.4517175,-27.7001324
6,BPH,,trunk base,MSA,20230824,-0.5495717,-26.3497548
1,BPH,N,trunk base,MSA,20230823,1.5417664,-26.5704896
2,BPH,N,trunk base,MSA,20230822,-0.9953648,-26.4905856
3,BPH,E,trunk base,MSA,20230823,-0.6692477,-27.9758012
1,SUN,SPH,stem sun,MSA,20230823,-1.2626412,-26.9849916
1,SH,stem shade,stem shade,MSA,20230823,-0.3690604,-27.7390856
1,SHL,stem shade,stem shade low,MSA,20230823,-1.6356314,-28.0876668
2,SUN,SPH,stem sun,MSA,20230822,-2.9959486,-27.4064852
2,SH,stem shade,stem shade,MSA,20230822,-3.7888021,-29.2642532
2,SHL,stem shade,stem shade low,MSA,20230822,-3.1176192,-27.62722
3,SUN,SPH,stem sun,MSA,20230823,0.107649,-27.0688908
3,SH,stem shade,stem shade,MSA,20230823,-1.1319949,-28.5700872
3,SHL,stem shade,stem shade low,MSA,20230823,-1.9487836,-30.2920184
5,SUN,SPH,stem sun,MSA,20230824,-2.3347387,-27.4364492
5,SH,stem shade,stem shade,MSA,20230824,-1.7842291,-27.6481948
5,SHL,stem shade,stem shade low,MSA,20230824,-0.7978994,-29.7416796
6,SUN,SPH,stem sun,MSA,20230824,-3.7040316,-27.8349704
6,SH,stem shade,stem shade,MSA,20230824,-2.7426344,-26.513558
6,SHL,stem shade,stem shade low,MSA,20230824,-1.0482217,-28.3793164
1,SUN,SPH,stem sun,MSA,20230823,0.1724735,-27.482394
1,SUN,SPH,stem sun,MSA,20230823,-2.5701015,-28.3533476
1,SHL,stem shade,stem shade low,MSA,20230823,-1.3703496,-31.6643696
1,SHL,stem shade,stem shade low,MSA,20230823,-0.022,-30.12422
2,SUN,SPH,stem sun,MSA,20230822,-1.9437971,-25.5966596
2,SH,stem shade,stem shade,MSA,20230822,-2.71471,-28.6639744
2,SHL,stem shade,stem shade low,MSA,20230822,-3.7239776,-29.35015
2,SHL,stem shade,stem shade low,MSA,20230822,-1.1549328,-28.1875468
3,SHL,stem shade,stem shade low,MSA,20230823,-1.4660904,-31.762252
3,SHL,stem shade,stem shade low,MSA,20230823,-2.4923121,-31.877114
1,BPH,,trunk base,MSA,20230904,0.9214458,-26.6763624
2,BPH,,trunk base,MSA,20230904,-0.7849345,-27.142802
3,BPH,,trunk base,MSA,20230904,-1.3504036,-27.412478
4,BPH,,trunk base,MSA,20230904,-0.0050459,-28.1156332
5,BPH,,trunk base,MSA,20230904,-0.7191127,-26.5754836
6,BPH,,trunk base,MSA,20230904,-0.3999767,-27.2286988
1,SPH,stem shade,stem shade low,MSA,20230904,-0.9764161,-29.0365268
2,SPH,stem shade,stem shade low,MSA,20230904,-1.7114262,-29.6917396
3,SPH,stem shade,stem shade low,MSA,20230904,-1.5837718,-30.4018864
4,SPH,stem shade,stem shade low,MSA,20230904,-0.9375214,-31.612432
5,SPH,stem shade,stem shade low,MSA,20230904,-2.0285676,-31.342756
6,SPH,stem shade,stem shade low,MSA,20230904,-2.5182419,-30.2500688
