id,d15N_permil,d13C_permil
1_BPH_ORD_20230531,2.7360688,-26.6375743
2_BPH_ORD_20230530,-1.1878437,NA
3_BPH_ORD_20230531,2.9250215,-25.275046
4_BPH_ORD_20230601,1.7920887,-25.1721696
5_BPH_ORD_20230531,4.2633981,-25.40489
6_BPH_ORD_20230601,1.6524667,NA
1_SUN_SPH_ORD_20230531,1.2894495,NA
1_SH_SPH_ORD_20230531,0.7618778,NA
1_SHL_SPH_ORD_20230531,1.0979679,NA
2_SUN_SPH_ORD_20230530,-1.6296476,NA
2_SH_SPH_ORD_20230530,-1.1549328,NA
2_SHL_SPH_ORD_20230531,-1.258652,NA
3_SUN_SPH_ORD_20230530,-2.4444417,NA
3_SH_SPH_ORD_20230531,0.1106409,-30.1451948
3_SHL_SPH_ORD_20230531,-1.7144181,-32.5093544
4_SUN_SPH_ORD_20230601,-2.7825264,NA
4_SH_SPH_ORD_20230601,-1.867005,-28.8567428
4_SHL_SPH_ORD_20230601,-0.9614566,NA
5_SUN_SPH_ORD_20230531,-4.5357798,NA
5_SH_SPH_ORD_20230531,-0.8956348,NA
5_SHL_SPH_ORD_20230531,-0.4927256,-27.816992
6_SUN_SPH_ORD_20230601,-4.0550812,-26.52854
6_SH_SPH_ORD_20230601,-1.8719915,-26.1509936
6_SHL_SPH_ORD_20230601,-2.884251,-26.6743648
1_BPH_ART_20230607,4.0918625,-26.6693708
2_BPH_ART_20230607,2.27179,-27.8729248
3_BPH_ART_20230607,1.8808484,-26.7862304
4_BPH_ART_20230607,0.725975,-27.2167132
5_BPH_ART_20230607,0.9882649,-26.7892268
1_SPH_ART_20230607,-1.8939321,-32.9887784
2_SPH_ART_20230607,-1.8729888,-31.2958124
3_SPH_ART_20230607,-2.4603985,-32.6701612
4_SPH_ART_20230607,-2.5172446,-31.6663672
5_SPH_ART_20230607,-4.3722226,-32.7590544
1_BPH_BER_20230608,0.6302342,-28.9426396
2_BPH_BER_20230608,0.7708535,-27.6132368
3_BPH_BER_20230608,0.8536294,-28.4272588
4_BPH_BER_20230608,4.4478986,-25.8723284
5_BPH_BER_20230608,3.0387137,-26.9799976
6_BPH_BER_20230608,0.4407472,-27.5632968
1_SPH_BER_20230608,-1.9916675,-32.4044804
2_SPH_BER_20230608,-2.2350087,-30.2850268
3_SPH_BER_20230608,-2.9969459,-33.1326056
4_SPH_BER_20230608,-3.2412844,-31.652384
5_SPH_BER_20230608,-1.0412406,-33.030728
6_SPH_BER_20230608,-3.9503647,-32.7470688
1_BPH_ITU_20230606,1.463977,-26.7302976
2_BPH_ITU_20230606,-1.2795953,-28.0726848
3_BPH_ITU_20230606,0.6053017,-27.6162332
4_BPH_ITU_20230606,1.5028717,-27.5383268
5_BPH_ITU_20230606,1.9456729,-26.688348
6_BPH_ITU_20230606,-0.779948,-28.2294964
1_SPH_ITU_20230606,-2.6558693,-32.1328068
2_SPH_ITU_20230606,-3.173468,-32.7330856
3_SPH_ITU_20230606,-4.7053208,-33.3483464
4_SPH_ITU_20230606,-4.3642442,-32.9588144
5_SPH_ITU_20230606,-1.6505909,-31.442636
6_SPH_ITU_20230606,-1.6625585,-31.7652484
1_BPH_DIU_20230615,1.2994225,-25.4088852
2_BPH_DIU_20230615,2.4971798,-26.7672532
3_BPH_DIU_20230615,2.1536032,-26.2516252
4_BPH_DIU_20230615,1.0271596,-25.5726884
5_BPH_DIU_20230615,1.7482075,-27.6132368
6_BPH_DIU_20230615,0.2542521,-27.1607804
1_SPH_DIU_20230615,2.4433256,-31.7203024
2_SPH_DIU_20230615,-0.0160162,-31.0141508
3_SPH_DIU_20230615,-3.8685861,-32.011952
4_SPH_DIU_20230615,-2.6309368,-31.167966
5_SPH_DIU_20230615,-0.2892764,-32.591256
6_SPH_DIU_20230615,-2.5022851,-31.1399996
1_BPH_ORD_20230823,1.1458383,-27.3565452
2_BPH_ORD_20230822,-2.4374606,-27.3115992
3_BPH_ORD_20230823,-0.3201927,-28.2434796
5_BPH_ORD_20230824,0.4517175,-27.7001324
6_BPH_ORD_20230824,-0.5495717,-26.3497548
1_BPH_N_ORD_20230823,1.5417664,-26.5704896
2_BPH_N_ORD_20230822,-0.9953648,-26.4905856
3_BPH_E_ORD_20230823,-0.6692477,-27.9758012
1_SUN_SPH_ORD_20230823,-1.2626412,-26.9849916
1_SH_SPH_ORD_20230823,-0.3690604,-27.7390856
1_SHL_SPH_ORD_20230823,-1.6356314,-28.0876668
2_SUN_SPH_ORD_20230822,-2.9959486,-27.4064852
