site,season,id_plant,light_exposure,leaf_area_unit
art,spring,1,shade low,16.83
art,spring,1,shade low,12.599
art,spring,1,shade low,9.706
art,spring,1,shade low,17.067
art,spring,1,shade low,14.103
art,spring,2,shade low,20.057
art,spring,2,shade low,15.845
art,spring,2,shade low,22.086
art,spring,2,shade low,20.935
art,spring,2,shade low,29.733
art,spring,3,shade low,18.598
art,spring,3,shade low,18.327
art,spring,3,shade low,11.351
art,spring,3,shade low,27.839
art,spring,3,shade low,12.09
art,spring,4,shade low,19.681
art,spring,4,shade low,25.801
art,spring,4,shade low,12.044
art,spring,4,shade low,17.724
art,spring,4,shade low,15.041
art,spring,5,shade low,24.153
art,spring,5,shade low,18.636
art,spring,5,shade low,12.985
art,spring,5,shade low,13.228
art,spring,5,shade low,20.106
art,spring,6,shade low,9999
art,spring,6,shade low,9999
art,spring,6,shade low,9999
art,spring,6,shade low,9999
art,spring,6,shade low,9999
ber,spring,1,shade low,19.537
ber,spring,1,shade low,14.625
ber,spring,1,shade low,11.267
ber,spring,1,shade low,19.811
ber,spring,1,shade low,16.371
ber,spring,2,shade low,24.951
ber,spring,2,shade low,15.957
ber,spring,2,shade low,24.178
ber,spring,2,shade low,23.254
ber,spring,2,shade low,20.675
ber,spring,3,shade low,19.204
ber,spring,3,shade low,12.969
ber,spring,3,shade low,12.759
ber,spring,3,shade low,18.919
ber,spring,3,shade low,16.302
ber,spring,4,shade low,39.41
ber,spring,4,shade low,35.786
ber,spring,4,shade low,24.545
ber,spring,4,shade low,28.579
ber,spring,4,shade low,39.096
ber,spring,5,shade low,37.626
ber,spring,5,shade low,31.087
ber,spring,5,shade low,33.565
ber,spring,5,shade low,33.57
ber,spring,5,shade low,35.813
ber,spring,6,shade low,35.577
ber,spring,6,shade low,35.096
ber,spring,6,shade low,21.43
ber,spring,6,shade low,14.718
ber,spring,6,shade low,16.436
itu,spring,1,shade low,33.896
itu,spring,1,shade low,33.906
itu,spring,1,shade low,11.616
itu,spring,1,shade low,19.324
itu,spring,1,shade low,20.35
itu,spring,2,shade low,32.597
itu,spring,2,shade low,28.025
itu,spring,2,shade low,21.799
itu,spring,2,shade low,25.849
itu,spring,2,shade low,34.699
itu,spring,3,shade low,25.881
itu,spring,3,shade low,29.815
itu,spring,3,shade low,16.562
itu,spring,3,shade low,15.19
itu,spring,3,shade low,14.443
itu,spring,4,shade low,24.698
itu,spring,4,shade low,19.546
itu,spring,4,shade low,29.685
itu,spring,4,shade low,24.139
itu,spring,4,shade low,21.26
itu,spring,5,shade low,51.557
itu,spring,5,shade low,36.88
itu,spring,5,shade low,56.243
itu,spring,5,shade low,53.308
itu,spring,5,shade low,50.353
itu,spring,6,shade low,25.528
itu,spring,6,shade low,21.098
itu,spring,6,shade low,32.306
itu,spring,6,shade low,24.909
itu,spring,6,shade low,35.832
diu,spring,1,shade low,22.78
diu,spring,1,shade low,18.453
diu,spring,1,shade low,10.348
diu,spring,1,shade low,18.614
diu,spring,1,shade low,17.07
diu,spring,2,shade low,42.18
diu,spring,2,shade low,35.817
diu,spring,2,shade low,24.718
diu,spring,2,shade low,27.721
diu,spring,2,shade low,21.536
diu,spring,3,shade low,10.007
diu,spring,3,shade low,20.964
diu,spring,3,shade low,14.24
diu,spring,3,shade low,12.049
diu,spring,3,shade low,14.928
diu,spring,4,shade low,20.753
diu,spring,4,shade low,16.957
diu,spring,4,shade low,17.703
diu,spring,4,shade low,13.626
diu,spring,4,shade low,22.542
diu,spring,5,shade low,12.117
diu,spring,5,shade low,17.558
diu,spring,5,shade low,16.096
diu,spring,5,shade low,15.85
diu,spring,5,shade low,13.621
diu,spring,6,shade low,21.475
diu,spring,6,shade low,20.137
diu,spring,6,shade low,20.644
diu,spring,6,shade low,20.036
diu,spring,6,shade low,25.435
art,summer,1,shade low,18.542
art,summer,1,shade low,18.937
art,summer,1,shade low,11.3
art,summer,1,shade low,14.746
art,summer,1,shade low,9.378
art,summer,2,shade low,13.295
art,summer,2,shade low,12.703
art,summer,2,shade low,21.273
art,summer,2,shade low,21.677
art,summer,2,shade low,26.305
art,summer,3,shade low,21.765
art,summer,3,shade low,22.758
art,summer,3,shade low,20.866
art,summer,3,shade low,21.23
art,summer,3,shade low,19.777
art,summer,4,shade low,20.592
art,summer,4,shade low,13.627
art,summer,4,shade low,19.657
art,summer,4,shade low,22.899
art,summer,4,shade low,24.295
art,summer,5,shade low,16.391
art,summer,5,shade low,19.199
art,summer,5,shade low,15.881
art,summer,5,shade low,14.262
art,summer,5,shade low,11.852
art,summer,6,shade low,9999
art,summer,6,shade low,9999
art,summer,6,shade low,9999
art,summer,6,shade low,9999
art,summer,6,shade low,9999
ber,summer,1,shade low,26.746
ber,summer,1,shade low,15.405
ber,summer,1,shade low,10.713
ber,summer,1,shade low,27.721
ber,summer,1,shade low,20.287
ber,summer,2,shade low,20.078
ber,summer,2,shade low,25.578
ber,summer,2,shade low,12.882
ber,summer,2,shade low,25.387
ber,summer,2,shade low,15.802
ber,summer,3,shade low,23.131
ber,summer,3,shade low,28.064
ber,summer,3,shade low,17.53
ber,summer,3,shade low,14.437
ber,summer,3,shade low,23.222
ber,summer,4,shade low,24.389
ber,summer,4,shade low,22.852
ber,summer,4,shade low,13.982
ber,summer,4,shade low,11.612
ber,summer,4,shade low,32.528
ber,summer,5,shade low,30.723
ber,summer,5,shade low,41.838
ber,summer,5,shade low,16.138
ber,summer,5,shade low,20.36
ber,summer,5,shade low,27.172
ber,summer,6,shade low,19.31
ber,summer,6,shade low,24.021
ber,summer,6,shade low,22.719
ber,summer,6,shade low,19.886
ber,summer,6,shade low,27.934
itu,summer,1,shade low,18.896
itu,summer,1,shade low,35.745
itu,summer,1,shade low,20.961
itu,summer,1,shade low,12.209
itu,summer,1,shade low,14.735
itu,summer,2,shade low,32.119
itu,summer,2,shade low,17.549
itu,summer,2,shade low,14.06
itu,summer,2,shade low,32.717
itu,summer,2,shade low,10.577
itu,summer,3,shade low,13.143
itu,summer,3,shade low,16.392
itu,summer,3,shade low,23.032
itu,summer,3,shade low,25.745
itu,summer,3,shade low,25.859
itu,summer,4,shade low,34.74
itu,summer,4,shade low,23.379
itu,summer,4,shade low,19.235
itu,summer,4,shade low,25.107
itu,summer,4,shade low,48.823
itu,summer,5,shade low,28.322
itu,summer,5,shade low,32.103
itu,summer,5,shade low,21.868
itu,summer,5,shade low,25.981
itu,summer,5,shade low,26.028
itu,summer,6,shade low,15.091
itu,summer,6,shade low,15.584
itu,summer,6,shade low,32.34
itu,summer,6,shade low,20.03
itu,summer,6,shade low,31.186
diu,summer,1,shade low,14.373
diu,summer,1,shade low,15.541
diu,summer,1,shade low,13.07
diu,summer,1,shade low,14.611
diu,summer,1,shade low,17.078
diu,summer,2,shade low,27.324
diu,summer,2,shade low,23.035
diu,summer,2,shade low,26.191
diu,summer,2,shade low,17.637
diu,summer,2,shade low,14.797
diu,summer,3,shade low,12.715
diu,summer,3,shade low,20.801
diu,summer,3,shade low,15.86
diu,summer,3,shade low,14.288
diu,summer,3,shade low,17.589
diu,summer,4,shade low,15.349
diu,summer,4,shade low,14.635
diu,summer,4,shade low,20.009
diu,summer,4,shade low,14.633
diu,summer,4,shade low,19.992
diu,summer,5,shade low,15.573
diu,summer,5,shade low,12.028
diu,summer,5,shade low,14.576
diu,summer,5,shade low,13.96
diu,summer,5,shade low,12.11
diu,summer,6,shade low,15.813
diu,summer,6,shade low,15.547
diu,summer,6,shade low,17.598
diu,summer,6,shade low,15.688
diu,summer,6,shade low,13.219
