date,season,id_plant,light_exposure,sampling,leaf_area_unit
20220517,spring,1,sun,plataform,23.726
20220517,spring,1,sun,plataform,12.619
20220517,spring,1,sun,plataform,27.743
20220517,spring,1,sun,plataform,25.658
20220517,spring,1,sun,plataform,11.749
20220517,spring,1,sun,plataform,23.248
20220517,spring,1,sun,plataform,27.795
20220517,spring,1,sun,plataform,22.606
20220517,spring,1,sun,plataform,15.067
20220517,spring,1,sun,plataform,39.719
20220517,spring,1,shade,plataform,33.017
20220517,spring,1,shade,plataform,17.075
20220517,spring,1,shade,plataform,39.12
20220517,spring,1,shade,plataform,36.463
20220517,spring,1,shade,plataform,33.005
20220517,spring,1,shade,plataform,34.484
20220517,spring,1,shade,plataform,27.117
20220517,spring,1,shade,plataform,28.823
20220517,spring,1,shade,plataform,36.244
20220517,spring,1,shade,plataform,29.258
20220517,spring,2,sun,plataform,23.348
20220517,spring,2,sun,plataform,20.361
20220517,spring,2,sun,plataform,22.502
20220517,spring,2,sun,plataform,22.395
20220517,spring,2,sun,plataform,23.553
20220517,spring,2,sun,plataform,11.883
20220517,spring,2,sun,plataform,19.18
20220517,spring,2,sun,plataform,17.81
20220517,spring,2,sun,plataform,22.046
20220517,spring,2,sun,plataform,24.075
20220517,spring,2,shade,plataform,26.732
20220517,spring,2,shade,plataform,30.775
20220517,spring,2,shade,plataform,34.606
20220517,spring,2,shade,plataform,31.196
20220517,spring,2,shade,plataform,28.637
20220517,spring,2,shade,plataform,29.957
20220517,spring,2,shade,plataform,21.571
20220517,spring,2,shade,plataform,32.602
20220517,spring,2,shade,plataform,20.005
20220517,spring,2,shade,plataform,29.981
20220518,spring,5,sun,plataform,20.536
20220518,spring,5,sun,plataform,17.792
20220518,spring,5,sun,plataform,17.145
20220518,spring,5,sun,plataform,12.64
20220518,spring,5,sun,plataform,15.769
20220518,spring,5,sun,plataform,20.78
20220518,spring,5,sun,plataform,19.974
20220518,spring,5,sun,plataform,20.321
20220518,spring,5,sun,plataform,11.155
20220518,spring,5,sun,plataform,18.046
20220518,spring,5,shade,plataform,23.816
20220518,spring,5,shade,plataform,19.615
20220518,spring,5,shade,plataform,23.557
20220518,spring,5,shade,plataform,18.453
20220518,spring,5,shade,plataform,18.367
20220518,spring,5,shade,plataform,21.174
20220518,spring,5,shade,plataform,17.624
20220518,spring,5,shade,plataform,19.751
20220518,spring,5,shade,plataform,25.223
20220518,spring,5,shade,plataform,19.435
20220518,spring,6,sun,plataform,16.877
20220518,spring,6,sun,plataform,17.334
20220518,spring,6,sun,plataform,20.584
20220518,spring,6,sun,plataform,15.769
20220518,spring,6,sun,plataform,10.179
20220518,spring,6,sun,plataform,16.489
20220518,spring,6,sun,plataform,15.664
