"","date","id_comb","season","id_plant","light_exposure","fw_l_lma","dw_l_lma","FWDW","Area","SLA","season_light","tla_suma","leaf_density_mg_cm2"
"1",20220517,"1_spring_shade","spring",1,"shade",3.78,1.29,2.930232558,314.606,243.880620155039,"spring shade",314.606,4.10036680800748
"2",20220517,"2_spring_shade","spring",2,"shade",3.26,0.883,3.69195923,286.062,323.966024915062,"spring shade",286.062,3.08674343324174
"3",20220518,"5_spring_shade","spring",5,"shade",1.958,0.564,3.471631206,207.015,367.047872340426,"spring shade",207.015,2.72444025795232
"4",20220518,"6_spring_shade","spring",6,"shade",2.86,0.926,3.088552916,194.587,210.137149028078,"spring shade",194.587,4.75879683637653
"5",20220518,"7_spring_shade","spring",7,"shade",2.57,0.619,4.151857835,226.192,365.415185783522,"spring shade",226.192,2.73661314281672
"6",20220519,"3_spring_shade","spring",3,"shade",2.61,0.91,2.868131868,293.59,322.626373626374,"spring shade",293.59,3.09956061173746
"7",20220727,"1_summer_shade_low","summer",1,"shade_low",NA,NA,NA,NA,NA,"summer shade",NA,NA
"8",20220727,"1_summer_shade","summer",1,"shade",4.52,2.32,1.948275862,165.213,71.2125,"summer shade",165.213,14.0424784974548
"9",20220727,"2_summer_shade","summer",2,"shade",4.68,2.32,2.017241379,161.559,69.6375,"summer shade",161.559,14.3600789804344
"10",20220727,"2_summer_shade_low","summer",2,"shade_low",3.24,1.44,2.25,204.689,NA,"summer shade",NA,NA
"11",20220803,"4_summer_shade_low","summer",4,"shade_low",2.888,1.475,1.957966102,144.408,NA,"summer shade",NA,NA
"12",20220728,"5_summer_shade_low","summer",5,"shade_low",2.4,1.13,2.123893805,179.9,NA,"summer shade",NA,NA
"13",20220728,"5_summer_shade","summer",5,"shade",4.13,2.04,2.024509804,174.064,85.3254901960784,"summer shade",174.064,11.7198271899991
"14",20220728,"6_summer_shade","summer",6,"shade",3.73,1.85,2.016216216,155.273,83.9313513513513,"summer shade",155.273,11.9144989792172
"15",20220803,"7_summer_shade_low","summer",7,"shade_low",3.78,1.835,2.059945504,194.872,NA,"summer shade",NA,NA
"16",20220517,"1_spring_sun","spring",1,"sun",3.82,1.213,3.149216818,229.93,189.554822753504,"spring sun",229.93,5.27551863610664
"17",20220517,"2_spring_sun","spring",2,"sun",3.995,1.119,3.570151921,207.153,185.123324396783,"spring sun",207.153,5.40180446336766
"18",20220518,"5_spring_sun","spring",5,"sun",2.864,1.008,2.841269841,174.158,172.775793650794,"spring sun",174.158,5.78784781635067
"19",20220518,"6_spring_sun","spring",6,"sun",3.27,1.013,3.228035538,162.635,160.547877591313,"spring sun",162.635,6.22867156516125
"20",20220519,"7_spring_sun","spring",7,"sun",3.337,0.939,3.553780618,350.722,373.505857294995,"spring sun",350.722,2.67733418490999
"21",20220519,"3_spring_sun","spring",3,"sun",2.47,0.954,2.589098532,192.42,201.698113207547,"spring sun",192.42,4.95790458372311
