"","date","id_comb","season","id_plant","light_exposure","fw_l_lma","dw_l_lma","tla_suma","SLA"
"1",20230531,"1_spring_sun","spring",1,"sun",0.45,0.181,24.701,136.469613259669
"2",20230530,"2_spring_sun","spring",2,"sun",1.358,0.63,62.988,99.9809523809524
"3",20230530,"3_spring_sun","spring",3,"sun",0.546,0.23,29.891,129.960869565217
"4",20230601,"4_spring_sun","spring",4,"sun",0.48,0.187,23.61,126.256684491979
"5",20230531,"5_spring_sun","spring",5,"sun",0.396,0.167,25.195,150.868263473054
"6",20230601,"6_spring_sun","spring",6,"sun",0.696,0.269,33.895,126.003717472119
"7",20230531,"1_spring_shade","spring",1,"shade",0.41,0.16,27.724,173.275
"8",20230530,"2_spring_shade","spring",2,"shade",1.452,0.673,99.743,148.206537890045
"9",20230531,"3_spring_shade","spring",3,"shade",0.403,0.176,26.29,149.375
"10",20230601,"4_spring_shade","spring",4,"shade",0.282,0.13,20.635,158.730769230769
"11",20230531,"5_spring_shade","spring",5,"shade",0.623,0.253,35.279,139.442687747036
"12",20230601,"6_spring_shade","spring",6,"shade",0.694,0.3,31.012,103.373333333333
"13",20230823,"1_summer_sun","summer",1,"sun",0.732,0.414,43.208,104.367149758454
"14",20230822,"2_summer_sun","summer",2,"sun",1.172,0.603,59.612,98.8590381426202
"15",20230823,"3_summer_sun","summer",3,"sun",0.457,0.193,23.66,122.59067357513
"16",20230824,"5_summer_sun","summer",5,"sun",0.37,0.185,20.533,110.989189189189
"17",20230824,"6_summer_sun","summer",6,"sun",0.603,0.339,41.165,121.430678466077
"18",20230823,"1_summer_shade","summer",1,"shade",0.893,0.45,56.096,124.657777777778
"19",20230822,"2_summer_shade","summer",2,"shade",1.503,0.71,112.884,158.991549295775
"20",20230823,"3_summer_shade","summer",3,"shade",0.34,0.123,17.984,146.211382113821
"21",20230824,"5_summer_shade","summer",5,"shade",0.581,0.278,36.186,130.165467625899
"22",20230824,"6_summer_shade","summer",6,"shade",0.46,0.276,26.011,94.2427536231884
