date,season,site,id_plant,light_exposure,fw,sw,dw,lrwc
20230531,spring,ms,1,shade_low,1.66,1.881,0.718,0.809974205
20230531,spring,ms,2,shade_low,1.77,2.324,0.977,0.588715664
20230531,spring,ms,3,shade_low,1.163,1.251,0.514,0.880597015
20230601,spring,ms,4,shade_low,0.817,0.951,0.379,0.765734266
20230531,spring,ms,5,shade_low,0.998,1.135,0.436,0.804005722
20230601,spring,ms,6,shade_low,0.926,1.091,0.438,0.747320061
20230531,spring,ms,1,shade,1.348,1.475,0.558,0.861504907
20230530,spring,ms,2,shade,2.673,2.746,1.111,0.955351682
20230531,spring,ms,3,shade,0.909,1.003,0.375,0.850318471
20230601,spring,ms,4,shade,0.743,0.814,0.316,0.857429719
20230531,spring,ms,5,shade,1.38,1.597,0.591,0.784294235
20230601,spring,ms,6,shade,1.36,1.436,0.604,0.908653846
20230531,spring,ms,1,sun,0.935,0.996,0.395,0.898502496
20230530,spring,ms,2,sun,2.863,2.867,1.23,0.997556506
20230530,spring,ms,3,sun,1.079,1.091,0.432,0.981790592
20230601,spring,ms,4,sun,1.034,1.128,0.461,0.859070465
20230531,spring,ms,5,sun,0.87,0.945,0.335,0.87704918
20230601,spring,ms,6,sun,1.106,1.15,0.474,0.934911243
20230823,summer,ms,1,shade_low,2.029,1.978,0.899,1.047265987
20230822,summer,ms,2,shade_low,2.9,2.918,1.428,0.987919463
20230823,summer,ms,3,shade_low,1.711,1.755,0.853,0.951219512
20230824,summer,ms,5,shade_low,1.02,1.271,0.515,0.667989418
20230824,summer,ms,6,shade_low,1.474,1.617,0.716,0.841287458
20230823,summer,ms,1,shade,1.97,2.111,0.95,0.878552972
20230822,summer,ms,2,shade,3.08,3.47,1.628,0.788273616
20230823,summer,ms,3,shade,0.965,0.931,0.472,1.074074074
20230824,summer,ms,5,shade,1.161,1.266,0.535,0.856361149
20230824,summer,ms,6,shade,1.185,1.3,0.613,0.832605531
20230823,summer,ms,1,sun,1.91,2.077,0.933,0.854020979
20230822,summer,ms,2,sun,2.45,2.424,1.235,1.021867115
20230823,summer,ms,3,sun,1.116,1.111,0.545,1.008833922
20230824,summer,ms,5,sun,0.848,0.904,0.41,0.886639676
20230824,summer,ms,6,sun,1.285,1.518,0.684,0.720623501
20230904,late_summer,ms,1,shade_low,1.641,1.76,0.801,0.875912409
20230904,late_summer,ms,2,shade_low,2.818,3.159,1.486,0.796174537
20230904,late_summer,ms,3,shade_low,1.611,1.8,0.855,0.8
20230904,late_summer,ms,4,shade_low,1.439,1.685,0.719,0.745341615
20230904,late_summer,ms,5,shade_low,1.14,1.351,0.576,0.727741935
20230904,late_summer,ms,6,shade_low,1.505,1.7,0.788,0.786184211
20230606,spring,itu,1,shade_low,1.085,1.182,0.38,0.879052369
20230606,spring,itu,2,shade_low,1.223,1.394,0.406,0.826923077
20230606,spring,itu,3,shade_low,1.049,1.222,0.388,0.792565947
20230606,spring,itu,4,shade_low,1.213,1.434,0.392,0.787907869
20230606,spring,itu,5,shade_low,1.81,2.18,0.699,0.750168805
20230606,spring,itu,6,shade_low,1.153,1.351,0.408,0.790031813
20230607,spring,art,1,shade_low,1.098,1.233,0.425,0.832920792
20230607,spring,art,2,shade_low,0.819,0.989,0.318,0.746646796
20230607,spring,art,3,shade_low,1.157,1.404,0.48,0.732683983
20230607,spring,art,4,shade_low,2,1.747,0.581,1.216981132
20230607,spring,art,5,shade_low,1.115,1.354,0.46,0.732662192
20230608,spring,ber,1,shade_low,0.836,1.145,0.429,0.568435754
20230608,spring,ber,2,shade_low,1.039,1.278,0.505,0.690815006
20230608,spring,ber,3,shade_low,1.116,1.385,0.528,0.686114352
20230608,spring,ber,4,shade_low,1.366,1.775,0.635,0.64122807
20230608,spring,ber,5,shade_low,1.193,1.497,0.527,0.686597938
20230608,spring,ber,6,shade_low,1.241,1.687,0.587,0.594545455
20230615,spring,diu,1,shade_low,0.954,1.124,0.345,0.781771502
20230615,spring,diu,2,shade_low,2.322,2.52,1.025,0.867558528
20230615,spring,diu,3,shade_low,1.258,1.421,0.564,0.809801634
20230615,spring,diu,4,shade_low,1.168,1.362,0.542,0.763414634
20230615,spring,diu,5,shade_low,1.176,1.35,0.494,0.796728972
20230615,spring,diu,6,shade_low,1.139,1.34,0.517,0.755771567
20230829,summer,itu,1,shade_low,2.107,2.352,0.815,0.840598569
20230829,summer,itu,2,shade_low,1.837,2.075,0.688,0.828406633
20230829,summer,itu,3,shade_low,1.71,1.711,0.683,0.999027237
20230829,summer,itu,4,shade_low,3.043,3.468,0.957,0.830744723
20230829,summer,itu,5,shade_low,2.528,2.861,0.981,0.82287234
20230829,summer,itu,6,shade_low,2.225,2.477,0.999,0.829499323
20230831,summer,art,1,shade_low,0.868,0.929,0.351,0.894463668
20230831,summer,art,2,shade_low,2.123,2.305,0.987,0.861911988
20230831,summer,art,3,shade_low,1.766,1.93,0.736,0.862646566
20230831,summer,art,6,shade_low,1.218,1.237,0.574,0.971342383
20230831,summer,art,4,shade_low,1.373,1.434,0.586,0.928066038
20230830,summer,ber,1,shade_low,1.79,2.035,0.825,0.797520661
20230830,summer,ber,2,shade_low,2.195,2.46,1.021,0.815844336
20230830,summer,ber,3,shade_low,1.999,2.298,1.007,0.768396592
20230830,summer,ber,4,shade_low,1.924,2.442,0.998,0.641274238
20230830,summer,ber,5,shade_low,2.62,3.46,1.435,0.585185185
20230830,summer,ber,6,shade_low,1.578,1.803,0.785,0.778978389
20230901,summer,diu,1,shade_low,1.451,1.574,0.656,0.866013072
20230901,summer,diu,2,shade_low,2.267,2.45,1.097,0.864745011
20230901,summer,diu,3,shade_low,1.149,1.225,0.51,0.893706294
20230901,summer,diu,4,shade_low,1.159,1.29,0.515,0.830967742
20230901,summer,diu,5,shade_low,1.226,1.385,0.604,0.796414853
20230901,summer,diu,6,shade_low,1.112,1.246,0.549,0.807747489
