%">"FECHA","PRECIPITACION ACUMULADA","TEMPERATURA MAXIMA","TEMPERATURA MINIMA",
"","L/M&2","  C","  C",
"01/01/2024","0.0","15.0","3.5",
"02/01/2024","0.2","15.0","3.5",
"03/01/2024","0.3","13.5","9.0",
"04/01/2024","11.0","14.0","1.5",
"05/01/2024","82.8","8.0","7.0",
"06/01/2024","48.9","7.0","2.0",
"07/01/2024","6.9","5.5","2.0",
"08/01/2024","0.0","5.5","0.0",
"09/01/2024","0.8","4.5","-1.5",
"10/01/2024","8.9","5.0","-2.0",
"11/01/2024","0.0","5.0","0.5",
"12/01/2024","0.0","4.5","-1.0",
"13/01/2024","0.0","9.5","-1.0",
"14/01/2024","4.2","13.0","-4.0",
"15/01/2024","12.1","12.5","8.5",
"16/01/2024","1.7","15.5","8.0",
"17/01/2024","0.0","17.5","8.0",
"18/01/2024","11.2","16.5","10.5",
"19/01/2024","0.0","4.0","1.5",
"20/01/2024","0.0","2.5","-4.5",
"21/01/2024","0.0","7.5","-1.5",
"22/01/2024","1.4","17.0","3.0",
"23/01/2024","0.0","15.0","6.0",
"24/01/2024","0.0","12.0","4.5",
"25/01/2024","0.0","14.0","3.5",
"26/01/2024","0.0","14.0","2.5",
"27/01/2024","0.0","18.0","2.0",
"28/01/2024","0.0","19.0","8.0",
"29/01/2024","0.0","18.0","11.0",
"30/01/2024","0.0","15.0","5.5",
"31/01/2024","0.0","15.0","1.5",
"01/02/2024","3.8","10.5","1.0",
"02/02/2024","0.3","13.0","8.0",
"03/02/2024","0.0","13.5","5.0",
"04/02/2024","0.0","11.0","4.0",
"05/02/2024","0.0","14.5","3.5",
"06/02/2024","0.0","13.0","9.0",
"07/02/2024","3.1","16.0","1.5",
"08/02/2024","0.1","16.0","7.5",
"09/02/2024","29.2","15.0","11.0",
"10/02/2024","8.1","10.0","7.0",
"11/02/2024","2.9","12.0","5.0",
"12/02/2024","13.5","13.5","3.5",
"13/02/2024","0.0","15.5","2.0",
"14/02/2024","0.0","18.5","2.0",
"15/02/2024","30.3","22.5","11.5",
"16/02/2024","10.4","12.0","10.0",
"17/02/2024","0.0","13.0","6.0",
"18/02/2024","6.0","15.0","1.0",
"19/02/2024","0.0","9.0","6.5",
"20/02/2024","0.0","14.5","7.5",
"21/02/2024","0.0","17.0","1.0",
"22/02/2024","28.5","18.0","1.5",
"23/02/2024","19.2","9.5","1.5",
"24/02/2024","16.7","10.0","2.0",
"25/02/2024","13.6","14.5","3.0",
"26/02/2024","136.3","10.5","5.0",
"27/02/2024","68.1","11.0","6.5",
"28/02/2024","6.2","10.0","5.0",
"29/02/2024","30.4","12.5","5.5",
"01/03/2024","10.9","12.5","3.5",
"02/03/2024","44.0","12.5","7.5",
"03/03/2024","19.5","7.0","2.0",
"04/03/2024","10.9","13.5","0.0",
"05/03/2024","0.4","11.0","4.5",
"06/03/2024","0.0","15.0","0.0",
"07/03/2024","4.8","17.0","4.0",
"08/03/2024","0.2","13.0","4.5",
"09/03/2024","0.3","13.0","5.0",
"10/03/2024","34.6","13.0","5.0",
"11/03/2024","16.9","9.5","6.0",
"12/03/2024","0.7","13.5","6.0",
"13/03/2024","0.0","19.5","1.5",
"14/03/2024","0.0","22.0","6.5",
"15/03/2024","0.0","20.0","6.5",
"16/03/2024","0.0","22.5","5.0",
"17/03/2024","0.0","20.5","10.5",
"18/03/2024","0.0","23.0","10.0",
"19/03/2024","0.0","22.0","9.5",
"20/03/2024","0.5","22.0","10.0",
"21/03/2024","0.0","23.0","10.5",
"22/03/2024","3.7","23.0","8.0",
"23/03/2024","0.0","14.5","8.5",
"24/03/2024","0.0","14.0","7.5",
"25/03/2024","34.8","17.0","4.5",
"26/03/2024","4.7","12.0","4.0",
"27/03/2024","0.7","16.5","0.5",
"28/03/2024","0.8","18.0","7.0",
"29/03/2024","18.0","12.5","9.0",
"30/03/2024","0.3","16.0","3.0",
"31/03/2024","11.4","12.5","5.5",
"01/04/2024","- -","- -","- -",
"02/04/2024","- -","- -","- -",
"03/04/2024","- -","- -","- -",
"04/04/2024","- -","- -","- -",
"05/04/2024","- -","- -","- -",
"06/04/2024","- -","- -","- -",
"07/04/2024","- -","- -","- -",
"08/04/2024","- -","- -","- -",
"09/04/2024","- -","- -","- -",
"10/04/2024","- -","- -","- -",
"11/04/2024","- -","- -","- -",
"12/04/2024","- -","- -","- -",
"13/04/2024","- -","- -","- -",
"14/04/2024","- -","- -","- -",
"15/04/2024","- -","- -","- -",
"16/04/2024","- -","- -","- -",
"17/04/2024","- -","- -","- -",
"18/04/2024","- -","- -","- -",
"19/04/2024","- -","- -","- -",
"20/04/2024","- -","- -","- -",
"21/04/2024","- -","- -","- -",
"22/04/2024","- -","- -","- -",
"23/04/2024","- -","- -","- -",
"24/04/2024","- -","- -","- -",
"25/04/2024","- -","- -","- -",
"26/04/2024","- -","- -","- -",
"27/04/2024","- -","- -","- -",
"28/04/2024","- -","- -","- -",
"29/04/2024","- -","- -","- -",
"NOTA: TIPO DE DATOS SEG&UACUTE;N EL COLOR:",
" - VALORES DE PRECIPITACION DIARIOS",
"- VALORES DE PRECIPITACION ACUMULADOS DE ESE DIA Y DIAS ANTERIORES",
