%">"FECHA","PRECIPITACION ACUMULADA","TEMPERATURA MAXIMA","TEMPERATURA MINIMA",
"","L/M&2","  C","  C",
"01/01/2022","0.0","13.0","3.5",
"02/01/2022","0.0","14.5","5.0",
"03/01/2022","0.0","18.0","4.0",
"04/01/2022","39.0","17.0","4.0",
"05/01/2022","0.0","7.5","4.5",
"06/01/2022","2.4","3.0","-2.0",
"07/01/2022","18.1","9.5","-2.5",
"08/01/2022","26.9","10.5","6.0",
"09/01/2022","165.5","13.5","6.0",
"10/01/2022","62.5","12.5","8.5",
"11/01/2022","0.5","10.5","9.0",
"12/01/2022","0.0","7.0","0.0",
"13/01/2022","0.0","5.5","-1.0",
"14/01/2022","0.0","5.0","-1.5",
"15/01/2022","0.0","7.0","-2.5",
"16/01/2022","0.0","9.0","-3.0",
"17/01/2022","0.0","5.5","-3.0",
"18/01/2022","0.0","6.0","-3.0",
"19/01/2022","0.6","9.0","-3.0",
"20/01/2022","11.7","7.5","3.0",
"21/01/2022","0.0","4.0","1.5",
"22/01/2022","0.0","3.5","-3.0",
"23/01/2022","0.0","4.0","-3.5",
"24/01/2022","0.0","11.5","1.0",
"25/01/2022","0.0","7.0","-1.0",
"26/01/2022","0.0","7.5","-1.5",
"27/01/2022","0.0","9.0","-2.0",
"28/01/2022","0.0","7.0","3.0",
"29/01/2022","0.0","9.0","-1.0",
"30/01/2022","1.2","5.0","-2.0",
"31/01/2022","21.1","8.5","2.0",
"01/02/2022","0.0","8.0","3.0",
"02/02/2022","0.0","11.0","3.0",
"03/02/2022","0.0","15.0","-0.5",
"04/02/2022","8.6","11.0","2.0",
"05/02/2022","0.4","7.5","5.0",
"06/02/2022","0.2","9.5","-1.5",
"07/02/2022","6.2","10.0","5.0",
"08/02/2022","0.0","11.0","3.0",
"09/02/2022","0.0","16.0","4.5",
"10/02/2022","0.5","17.0","1.0",
"11/02/2022","0.2","9.5","6.0",
"12/02/2022","0.0","16.0","1.5",
"13/02/2022","6.6","16.0","5.0",
"14/02/2022","23.2","9.5","3.5",
"15/02/2022","1.1","11.0","3.5",
"16/02/2022","7.0","12.5","4.5",
"17/02/2022","0.0","15.0","7.0",
"18/02/2022","9.5","16.0","4.0",
"19/02/2022","3.6","9.0","5.0",
"20/02/2022","7.5","10.5","1.5",
"21/02/2022","3.4","16.5","4.0",
"22/02/2022","0.0","15.0","3.0",
"23/02/2022","0.0","16.0","0.0",
"24/02/2022","6.7","10.0","3.0",
"25/02/2022","0.0","9.5","4.0",
"26/02/2022","0.0","15.0","-1.0",
"27/02/2022","0.0","15.0","9.0",
"28/02/2022","0.0","17.5","1.0",
"01/03/2022","0.4","20.0","1.0",
"02/03/2022","11.9","12.0","9.5",
"03/03/2022","60.4","13.5","3.0",
"04/03/2022","25.7","9.0","3.0",
"05/03/2022","0.4","9.0","4.5",
"06/03/2022","0.0","9.5","4.0",
"07/03/2022","0.1","13.0","2.5",
"08/03/2022","1.1","12.5","2.5",
"09/03/2022","0.9","14.5","2.0",
"10/03/2022","1.4","15.5","8.0",
"11/03/2022","15.0","16.5","8.0",
"12/03/2022","11.3","16.0","4.5",
"13/03/2022","0.0","14.0","5.0",
"14/03/2022","3.6","16.5","5.0",
"15/03/2022","0.0","19.5","7.5",
"16/03/2022","28.9","17.5","11.0",
"17/03/2022","14.2","10.0","9.0",
"18/03/2022","0.2","8.5","7.0",
"19/03/2022","0.0","17.0","5.0",
"20/03/2022","0.0","17.0","8.0",
"21/03/2022","0.0","18.0","11.0",
"22/03/2022","0.0","13.5","10.5",
"23/03/2022","0.0","16.0","9.0",
"24/03/2022","0.3","17.5","4.0",
"25/03/2022","0.2","18.0","9.0",
"26/03/2022","0.0","19.5","5.0",
"27/03/2022","0.0","19.5","5.0",
"28/03/2022","0.0","19.0","11.0",
"29/03/2022","2.4","14.5","7.5",
"30/03/2022","45.4","10.0","8.5",
"31/03/2022","39.6","10.5","6.5",
"01/04/2022","12.1","6.0","0.5",
"02/04/2022","16.3","7.5","0.5",
"03/04/2022","0.0","7.0","-0.5",
"04/04/2022","0.0","7.5","-2.5",
"05/04/2022","0.0","12.5","-2.0",
"06/04/2022","0.0","12.5","-0.5",
"07/04/2022","0.0","19.5","2.5",
"08/04/2022","10.3","17.5","8.5",
"09/04/2022","1.6","13.0","7.0",
"10/04/2022","0.0","22.5","1.0",
"11/04/2022","0.9","24.5","14.0",
"12/04/2022","0.0","20.0","11.5",
"13/04/2022","0.7","15.0","7.0",
"14/04/2022","0.1","15.0","8.0",
"15/04/2022","0.0","17.5","7.5",
"16/04/2022","0.0","20.0","9.5",
"17/04/2022","0.7","18.0","7.0",
"18/04/2022","5.9","13.0","11.5",
"19/04/2022","33.7","10.5","8.0",
"20/04/2022","142.1","10.5","7.5",
"21/04/2022","15.0","11.5","7.0",
"22/04/2022","4.3","17.5","3.0",
"23/04/2022","38.7","12.5","9.5",
"24/04/2022","0.8","15.5","7.5",
"25/04/2022","0.0","19.0","6.0",
"26/04/2022","0.3","24.5","6.0",
"27/04/2022","4.6","16.5","8.0",
"28/04/2022","2.3","12.5","11.0",
"29/04/2022","0.0","15.5","10.5",
"30/04/2022","0.0","17.5","11.0",
"01/05/2022","0.0","17.0","6.5",
"02/05/2022","2.3","12.5","8.0",
"03/05/2022","0.0","14.5","10.0",
"04/05/2022","0.0","14.0","10.5",
"05/05/2022","0.0","16.0","8.5",
"06/05/2022","0.0","15.0","6.5",
"07/05/2022","0.0","20.5","9.0",
