"","date","precip_mm","temperatura_maxima","temperatura_minima","temp_air_celcius"
"1",2000-01-01,2.8,8,3.5,5.75
"2",2000-01-02,1,10.5,6.5,8.5
"3",2000-01-03,0,10.5,1,5.75
"4",2000-01-04,0,8,0,4
"5",2000-01-05,0,11,0.5,5.75
"6",2000-01-06,0,11,3,7
"7",2000-01-07,0,10,1,5.5
"8",2000-01-08,1.9,11.5,3,7.25
"9",2000-01-09,14.1,7.5,1.5,4.5
"10",2000-01-10,0,5,1,3
"11",2000-01-11,0,2.5,-2.5,0
"12",2000-01-12,0,7.5,-3,2.25
"13",2000-01-13,0,8.5,-2.5,3
"14",2000-01-14,0,10,2,6
"15",2000-01-15,0,9.5,3,6.25
"16",2000-01-16,0,6.2,-2,2.1
"17",2000-01-17,0,4.5,2.5,3.5
"18",2000-01-18,0,4.5,-2.5,1
"19",2000-01-19,0,5.5,0,2.75
"20",2000-01-20,0,4,1,2.5
"21",2000-01-21,0,4,0.5,2.25
"22",2000-01-22,9.2,5.5,1.5,3.5
"23",2000-01-23,0.1,4.5,-0.5,2
"24",2000-01-24,0,4,-1,1.5
"25",2000-01-25,0,2,-4.5,-1.25
"26",2000-01-26,0,8,-4.5,1.75
"27",2000-01-27,0,10.5,-2.5,4
"28",2000-01-28,0,11,-0.5,5.25
"29",2000-01-29,0.2,11,-0.5,5.25
"30",2000-01-30,0,11.5,1,6.25
"31",2000-01-31,0,14.5,0.5,7.5
"32",2000-02-01,0.7,18,1,9.5
"33",2000-02-02,45.6,12,8.5,10.25
"34",2000-02-03,0,9,5.5,7.25
"35",2000-02-04,0,10,-1,4.5
"36",2000-02-05,0,18,0,9
"37",2000-02-06,4.2,17.5,1,9.25
"38",2000-02-07,0.5,14,5.5,9.75
"39",2000-02-08,15,15.5,7.5,11.5
"40",2000-02-09,1.3,11,6.5,8.75
"41",2000-02-10,4.8,16,0,8
"42",2000-02-11,0.2,12.5,5,8.75
"43",2000-02-12,0,13,-0.5,6.25
"44",2000-02-13,68.6,15.5,-1.5,7
"45",2000-02-14,67,11,0.5,5.75
"46",2000-02-15,4.7,11,8.5,9.75
"47",2000-02-16,60,11,3.5,7.25
"48",2000-02-17,49.5,11,6,8.5
"49",2000-02-18,30.3,11,8.5,9.75
"50",2000-02-19,0,11,8,9.5
"51",2000-02-20,0,11,8.5,9.75
"52",2000-02-21,0,10.5,0,5.25
"53",2000-02-22,0,8,0,4
"54",2000-02-23,11.1,10,1,5.5
"55",2000-02-24,2.3,12,2.5,7.25
"56",2000-02-25,0,13,2.5,7.75
"57",2000-02-26,0,19,2.5,10.75
"58",2000-02-27,0,20,3.5,11.75
"59",2000-02-28,0.3,15,4.5,9.75
"60",2000-02-29,0.6,12.5,3.5,8
"61",2000-03-01,25.4,10,4,7
"62",2000-03-02,0,12,2.5,7.25
"63",2000-03-03,0,15.5,-1,7.25
"64",2000-03-04,8.2,10.5,4,7.25
"65",2000-03-05,0,12,1.5,6.75
"66",2000-03-06,0,19,0.5,9.75
"67",2000-03-07,0,15.5,3,9.25
"68",2000-03-08,0,19,0,9.5
"69",2000-03-09,0,19,0,9.5
"70",2000-03-10,0,17.5,1,9.25
"71",2000-03-11,0,18.5,1.5,10
"72",2000-03-12,0,17,2.5,9.75
"73",2000-03-13,0,11,5,8
"74",2000-03-14,0,12,8.5,10.25
"75",2000-03-15,0.2,11.5,5.5,8.5
"76",2000-03-16,0,12.5,0.5,6.5
"77",2000-03-17,0,11.5,0.5,6
"78",2000-03-18,0,10.5,4.5,7.5
"79",2000-03-19,0,8,5.5,6.75
"80",2000-03-20,0,11.5,-1,5.25
"81",2000-03-21,0,15,-0.5,7.25
"82",2000-03-22,1.1,16,10,13
"83",2000-03-23,6.1,16.5,9.5,13
"84",2000-03-24,0,16,7,11.5
"85",2000-03-25,7,9,2.5,5.75
"86",2000-03-26,35.3,8.5,5,6.75
"87",2000-03-27,54.6,7.5,5.5,6.5
"88",2000-03-28,13.6,7.5,0.5,4
"89",2000-03-29,3.4,8,1,4.5
"90",2000-03-30,1.5,13,-0.5,6.25
"91",2000-03-31,6.6,8.5,0,4.25
"92",2000-04-01,0,16,2,9
"93",2000-04-02,0.9,16.5,2,9.25
"94",2000-04-03,4.1,15.5,8,11.75
"95",2000-04-04,30.7,9.5,7,8.25
"96",2000-04-05,23,6.5,4.5,5.5
"97",2000-04-06,0.2,10,3,6.5
"98",2000-04-07,0,18.5,0,9.25
"99",2000-04-08,1.3,14.5,7,10.75
"100",2000-04-09,26,17,9,13
"101",2000-04-10,24.9,9.5,8,8.75
"102",2000-04-11,39.6,10,7,8.5
"103",2000-04-12,8.4,8.5,5.5,7
"104",2000-04-13,0,14,5.5,9.75
"105",2000-04-14,9.7,18,6,12
"106",2000-04-15,0,15,2.5,8.75
"107",2000-04-16,4.8,17,2.5,9.75
"108",2000-04-17,0.8,17.5,7.5,12.5
"109",2000-04-18,5.8,14.5,4.5,9.5
"110",2000-04-19,1.7,18.5,7,12.75
"111",2000-04-20,0,23.5,8.5,16
"112",2000-04-21,5.1,24,9,16.5
"113",2000-04-22,13.3,13.5,9.5,11.5
"114",2000-04-23,2.3,13,5.5,9.25
"115",2000-04-24,0,20,3.5,11.75
"116",2000-04-25,0.2,24,5.5,14.75
"117",2000-04-26,31.6,15.5,9.5,12.5
"118",2000-04-27,60.5,8.5,8,8.25
"119",2000-04-28,1,12.5,6.5,9.5
"120",2000-04-29,0,18,3.5,10.75
"121",2000-04-30,0.1,20,5.5,12.75
"122",2000-05-01,0,24,9,16.5
"123",2000-05-02,0,23.5,10,16.75
"124",2000-05-03,0,26,7,16.5
"125",2000-05-04,0.2,22,12,17
"126",2000-05-05,2.1,23,9,16
"127",2000-05-06,2,20,9.5,14.75
"128",2000-05-07,35.8,22,11,16.5
"129",2000-05-08,0.3,22,8.5,15.25
"130",2000-05-09,4.4,19.5,9.5,14.5
"131",2000-05-10,0,18.5,10.5,14.5
"132",2000-05-11,2,17,12,14.5
"133",2000-05-12,13.3,22,9,15.5
"134",2000-05-13,0,24,8.5,16.25
"135",2000-05-14,0,27,9.5,18.25
"136",2000-05-15,0.3,23.5,11.5,17.5
"137",2000-05-16,5.2,26.5,13,19.75
"138",2000-05-17,0.7,15.5,12,13.75
"139",2000-05-18,1,14.5,10.5,12.5
"140",2000-05-19,0.5,14,10.5,12.25
"141",2000-05-20,0.3,20,5.5,12.75
"142",2000-05-21,2.5,14,7,10.5
"143",2000-05-22,0,18,8.5,13.25
"144",2000-05-23,0,23.5,5,14.25
"145",2000-05-24,0.2,23,6,14.5
"146",2000-05-25,2.6,18,8,13
"147",2000-05-26,19.3,24.5,9,16.75
"148",2000-05-27,2.7,21,10,15.5
"149",2000-05-28,12.3,20,10,15
"150",2000-05-29,2.6,18.5,13,15.75
"151",2000-05-30,0,22.5,13,17.75
"152",2000-05-31,0,23,10,16.5
"153",2000-06-01,4.7,31,8.5,19.75
"154",2000-06-02,0.3,29,12,20.5
"155",2000-06-03,1.5,17,14.5,15.75
"156",2000-06-04,7,17,13,15
"157",2000-06-05,4.7,13.5,11.5,12.5
"158",2000-06-06,0,15,9.5,12.25
"159",2000-06-07,0,19.5,7,13.25
"160",2000-06-08,0,29,7.5,18.25
"161",2000-06-09,64.4,15,12.5,13.75
"162",2000-06-10,39.7,12.5,10.5,11.5
"163",2000-06-11,3.9,14.5,8.5,11.5
"164",2000-06-12,0.8,16.5,10.5,13.5
"165",2000-06-13,0,18,11.5,14.75
"166",2000-06-14,0,21,11.5,16.25
"167",2000-06-15,0,26,13.5,19.75
"168",2000-06-16,0,30.5,12.5,21.5
"169",2000-06-17,0,30.5,12.5,21.5
"170",2000-06-18,0,32,13.5,22.75
"171",2000-06-19,0,31,18.5,24.75
"172",2000-06-20,0.8,26.5,16,21.25
"173",2000-06-21,2.1,22,14.5,18.25
"174",2000-06-22,3.7,16,14.5,15.25
"175",2000-06-23,1.1,17.5,12.5,15
"176",2000-06-24,0.6,17,12.5,14.75
"177",2000-06-25,0,23.5,11.5,17.5
"178",2000-06-26,5.9,27.5,12.5,20
"179",2000-06-27,0,29,16,22.5
"180",2000-06-28,0,21.5,11.5,16.5
"181",2000-06-29,0,22.5,13.5,18
"182",2000-06-30,0,27.5,14,20.75
"183",2000-07-01,0,27,14,20.5
"184",2000-07-02,0,24.5,14,19.25
"185",2000-07-03,27.9,26.5,12.5,19.5
"186",2000-07-04,0,19,12,15.5
"187",2000-07-05,0,25,10.5,17.75
"188",2000-07-06,0,31.5,14,22.75
"189",2000-07-07,7,19.5,13,16.25
"190",2000-07-08,2.3,18.5,15,16.75
"191",2000-07-09,5.1,22.5,10,16.25
"192",2000-07-10,65,15,11,13
"193",2000-07-11,36.4,15.5,10.5,13
"194",2000-07-12,0.3,17.5,11.5,14.5
"195",2000-07-13,5.2,17.5,13,15.25
"196",2000-07-14,65.5,16.5,10.5,13.5
"197",2000-07-15,56,15.5,14.5,15
"198",2000-07-16,0.1,20.5,13.5,17
"199",2000-07-17,0,23.5,9.5,16.5
"200",2000-07-18,0,25,10.5,17.75
"201",2000-07-19,0,24.5,12,18.25
"202",2000-07-20,0,26,12.5,19.25
"203",2000-07-21,0,30.5,14,22.25
"204",2000-07-22,0,25.5,15,20.25
"205",2000-07-23,1.1,25,16,20.5
"206",2000-07-24,6.3,22.5,12,17.25
"207",2000-07-25,4.5,21,13.5,17.25
"208",2000-07-26,0,22,9.5,15.75
"209",2000-07-27,1,21,10.5,15.75
"210",2000-07-28,0,22,15,18.5
"211",2000-07-29,0,22,11.5,16.75
"212",2000-07-30,0,24.5,12.5,18.5
"213",2000-07-31,0,30.5,12,21.25
"214",2000-08-01,4.3,21.5,16,18.75
"215",2000-08-02,1.8,20,16,18
"216",2000-08-03,23.6,17,14.5,15.75
