%">"FECHA","PRECIPITACION ACUMULADA","TEMPERATURA MAXIMA","TEMPERATURA MINIMA",
"","L/M&2","  C","  C",
"01/01/2022","0.0","19.9","3.8",
"02/01/2022","0.0","18.5","4.3",
"03/01/2022","0.0","18.1","4.6",
"04/01/2022","27.1","19.4","9.7",
"05/01/2022","4.5","8.3","5.3",
"06/01/2022","2.5","7.3","0.0",
"07/01/2022","13.0","8.9","0.0",
"08/01/2022","21.1","12.9","1.8",
"09/01/2022","79.6","13.2","6.1",
"10/01/2022","22.8","12.2","8.5",
"11/01/2022","0.0","12.7","8.4",
"12/01/2022","0.0","9.7","0.8",
"13/01/2022","0.0","12.3","-0.1",
"14/01/2022","0.0","13.2","-2.5",
"15/01/2022","0.0","12.2","-3.4",
"16/01/2022","0.0","12.5","-3.8",
"17/01/2022","0.0","11.4","-3.7",
"18/01/2022","0.0","10.0","-3.1",
"19/01/2022","1.8","8.9","3.7",
"20/01/2022","6.5","9.1","4.1",
"21/01/2022","0.0","6.4","0.5",
"22/01/2022","0.0","8.4","-2.4",
"23/01/2022","0.0","13.2","-3.5",
"24/01/2022","0.0","11.3","-2.7",
"25/01/2022","0.0","16.4","-2.7",
"26/01/2022","0.0","15.8","-2.6",
"27/01/2022","0.0","13.9","-2.8",
"28/01/2022","0.0","10.9","1.8",
"29/01/2022","0.0","11.4","-0.6",
"30/01/2022","1.1","10.3","-0.1",
"31/01/2022","10.0","9.4","2.0",
"01/02/2022","0.7","10.0","3.8",
"02/02/2022","0.0","15.2","5.8",
"03/02/2022","0.0","16.8","-0.3",
"04/02/2022","5.6","9.2","0.7",
"05/02/2022","0.0","10.9","6.0",
"06/02/2022","0.9","11.1","-0.5",
"07/02/2022","0.0","11.2","5.0",
"08/02/2022","0.0","19.6","4.8",
"09/02/2022","0.0","19.7","3.0",
"10/02/2022","0.1","20.1","1.2",
"11/02/2022","0.0","10.1","4.3",
"12/02/2022","0.0","17.5","2.9",
"13/02/2022","3.2","18.0","5.2",
"14/02/2022","15.9","11.4","4.5",
"15/02/2022","0.3","13.9","4.5",
"16/02/2022","4.0","14.9","5.6",
"17/02/2022","0.0","15.3","9.9",
"18/02/2022","1.5","20.0","4.3",
"19/02/2022","3.1","12.6","6.8",
"20/02/2022","1.1","11.5","1.8",
"21/02/2022","1.1","13.5","4.3",
"22/02/2022","0.0","18.4","1.7",
"23/02/2022","0.0","20.4","0.7",
"24/02/2022","1.4","11.9","1.5",
"25/02/2022","0.0","12.1","2.7",
"26/02/2022","0.0","18.1","-1.3",
"27/02/2022","0.0","16.0","10.0",
"28/02/2022","0.0","21.5","1.6",
"01/03/2022","0.1","22.0","-0.7",
"02/03/2022","6.0","15.0","7.0",
