INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,NOM_PROV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31
1002E,1992,1,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,2,116,258,1,9,0,0,0,0,2,0,0,69,-3,10,11,2,0,-3,0,0,0,0,0,067X,077X,077X,077X,077X,077X,077X,011X,011X,011X,011X,011X,,057X077X,077X,077X,011X,057X,,011X,011X,021X067X,021X081X,131X,057X067X,011X067X,067X,077X,077X,077X,077X
1002E,1992,2,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,-3,0,0,0,2,0,0,184,176,0,6,24,0,0,0,0,0,0,0,-3,0,-3,0,0,0,,,057X077X,077X,077X,067X,011X067X,067X,057X067X,067X,011X067X,067X,,011X,011X,057X,011X067X,011X,,077X,067X,057X077X,077X,077X,077X,011X077X,,011X057X067X,057X067X,077X,067X,,
1002E,1992,3,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,2,23,12,4,0,56,9,0,11,60,22,4,0,0,0,0,3,12,373,202,46,528,595,11,12,82,95,067X,067X,057X077X,057X077X,011X,011X,011X067X,011X,057X067X,011X067X,011X057X,067X,011X067X,011X057X,011X057X,011X057X,057X067X,057X067X,057X067X,057X067X,011X057X067X,011X067X,011X057X,011X021X,011X057X,011X021X057X,011X021X,011X021X,011X,011X057X,011X067X
1002E,1992,4,SEÑORIO DE BERTIZ,146,NAVARRA,62,3,12,104,-3,132,214,396,0,0,0,89,0,54,182,214,143,35,0,0,0,0,0,0,0,0,-3,149,106,30,,011X,011X,011X067X,011X067X,011X,011X067X,011X,011X,,067X,057X067X,011X057X067X,,011X067X,011X,011X031X,011X,011X057X,,057X067X,057X067X,057X067X,057X067X,067X,067X,067X,011X067X,011X067X,011X,011X,
1002E,1992,5,SEÑORIO DE BERTIZ,146,NAVARRA,183,94,0,-3,-3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,273,84,26,0,0,7,12,-3,194,97,011X057X,011X,067X,011X067X,011X067X,067X,067X,067X,067X,011X067X,057X,067X,067X,057X,067X,067X,067X,067X,,057X,067X,011X067X,011X,011X057X,057X,067X,011X067X,011X,011X067X,011X067X,011X
1002E,1992,6,SEÑORIO DE BERTIZ,146,NAVARRA,9,102,39,117,0,0,52,77,65,37,2,0,187,-3,96,66,5,-3,40,0,45,331,374,56,-3,0,0,-3,53,71,,011X,011X057X,011X,011X,,057X,011X057X,011X,011X,011X,011X057X,067X,011X057X067X,011X057X067X,011X057X067X,011X057X,011X057X,011X057X,011X057X067X,057X067X,011X067X,011X,011X,011X,131X,057X067X,057X067X,011X057X067X,011X057X067X,011X,
1002E,1992,7,SEÑORIO DE BERTIZ,146,NAVARRA,90,0,0,173,435,63,5,-3,114,14,-3,0,0,0,0,0,0,0,0,28,3,0,1,16,0,0,0,0,0,0,0,011X,057X,067X,011X057X,011X057X,011X057X,011X057X,011X057X,011X057X067X,011X,011X067X,,067X,057X067X,057X067X,057X067X,057X067X,067X,067X,011X067X,011X,057X067X,011X057X067X,011X057X,067X,057X067X,057X067X,067X,067X,067X,067X
1002E,1992,8,SEÑORIO DE BERTIZ,146,NAVARRA,17,-3,16,-3,-3,0,15,870,3,0,1,-3,0,0,0,0,0,5,130,-3,0,0,0,0,0,0,0,270,43,146,35,011X067X,011X067X,011X067X,011X067X,011X041X067X,067X,011X041X,011X031X041X,011X057X,057X,057X,011X,057X067X,057X067X,057X067X,057X067X,067X,011X041X067X,011X041X,011X067X,067X,057X067X,067X,067X,067X,067X,057X067X,011X067X,011X057X,011X057X,011X
1002E,1992,9,SEÑORIO DE BERTIZ,146,NAVARRA,0,-3,34,35,0,0,254,78,0,-3,0,0,0,2,0,0,23,-3,0,50,26,0,-3,0,-3,21,399,0,0,0,,067X,011X067X,011X031X057X,011X057X,057X067X,067X,011X067X,011X,067X,067X,067X,057X067X,057X067X,011X057X067X,057X067X,057X067X,011X057X067X,011X057X,067X,011X041X067X,011X041X,,011X067X,057X067X,011X067X,011X041X,011X,057X067X,057X067X,057X067X,
1002E,1992,10,SEÑORIO DE BERTIZ,146,NAVARRA,0,123,484,642,769,123,0,53,50,108,-3,3,12,0,49,228,-3,3,3,134,41,650,406,59,3,12,29,84,222,99,0,057X067X,011X057X,011X,011X,011X057X,011X057X,057X,011X067X,011X057X,011X057X,011X057X,011X067X,011X067X,057X,011X057X067X,011X057X,011X067X,011X067X,011X057X,011X067X,011X,011X,011X057X,011X,011X057X,011X057X,011X,011X,011X,011X057X,
