"","date","precip_mm","temperatura_maxima","temperatura_minima","temp_air_celcius"
"1",2000-01-03,0,12,3,7.5
"2",2000-01-04,0,13,1.5,7.25
"3",2000-01-05,0,10.5,0,5.25
"4",2000-01-06,0,12.5,1.5,7
"5",2000-01-07,0,14,0,7
"6",2000-01-08,2,10,1,5.5
"7",2000-01-09,4.1,8.5,3.5,6
"8",2000-01-10,0,8.5,1,4.75
"9",2000-01-11,0,7,-3.5,1.75
"10",2000-01-12,0,10,-3.5,3.25
"11",2000-01-13,0,10,-3.5,3.25
"12",2000-01-14,0,12.5,-1,5.75
"13",2000-01-15,0,14,3.5,8.75
"14",2000-01-16,0,6,-1,2.5
"15",2000-01-17,0,6.5,-1,2.75
"16",2000-01-18,0.1,6.5,-2,2.25
"17",2000-01-19,0,6,0,3
"18",2000-01-20,0,7.5,2,4.75
"19",2000-01-21,0,5,0,2.5
"20",2000-01-22,5.7,5.5,2.5,4
"21",2000-01-23,0,7,3.5,5.25
"22",2000-01-24,0,6,-2,2
"23",2000-01-25,0,5,-5,0
"24",2000-01-26,0,11,-5.5,2.75
"25",2000-01-27,0,14,-4,5
"26",2000-01-28,0,14,-1,6.5
"27",2000-01-29,0.2,11,0,5.5
"28",2000-01-30,0,14,1,7.5
"29",2000-01-31,0,18.5,1.5,10
"30",2000-02-01,0.1,18,2,10
"31",2000-02-02,18.5,12,6,9
"32",2000-02-03,0,14,6.5,10.25
"33",2000-02-04,0,18,1,9.5
"34",2000-02-05,0,20.5,2,11.25
"35",2000-02-06,2.3,17,0,8.5
"36",2000-02-07,0.3,14.5,1,7.75
"37",2000-02-08,6.5,18,7.5,12.75
"38",2000-02-09,1.5,14,7,10.5
"39",2000-02-10,1.2,15,0,7.5
"40",2000-02-11,0,9,1,5
"41",2000-02-12,0,11,0,5.5
"42",2000-02-13,22.5,13,-1.5,5.75
"43",2000-02-14,12.5,13,1,7
"44",2000-02-15,3.8,11.5,10,10.75
"45",2000-02-16,38,11,8.5,9.75
"46",2000-02-17,32.1,12,8,10
"47",2000-02-18,1.6,12,10,11
"48",2000-02-19,8.5,11.5,10,10.75
"49",2000-02-20,0,12.5,6,9.25
"50",2000-02-21,0,13.5,1,7.25
"51",2000-02-22,0,10,1,5.5
"52",2000-02-23,5.7,10,1,5.5
"53",2000-02-24,0,14,3.5,8.75
"54",2000-02-25,0,20,3,11.5
"55",2000-02-26,0,22,4,13
"56",2000-02-27,0,22,5,13.5
"57",2000-02-28,0,18,5,11.5
"58",2000-02-29,1,14,5,9.5
"59",2000-03-01,19.9,10,6,8
"60",2000-03-02,0,14,3,8.5
"61",2000-03-03,0,18.5,0,9.25
"62",2000-03-04,0.9,10.5,1.5,6
"63",2000-03-05,0,14,3.5,8.75
"64",2000-03-06,0,21,0,10.5
"65",2000-03-07,0,21,4,12.5
"66",2000-03-08,0,22,3,12.5
"67",2000-03-09,0,22,2,12
"68",2000-03-10,0,21,1,11
"69",2000-03-11,0,22.5,4,13.25
"70",2000-03-12,0,19,6,12.5
"71",2000-03-13,0,14.5,7,10.75
"72",2000-03-14,0,15.5,8.5,12
"73",2000-03-15,0,14,8,11
"74",2000-03-16,0,14,2.5,8.25
"75",2000-03-17,0,14,1,7.5
"76",2000-03-18,0,13,3,8
"77",2000-03-19,0,10,7.5,8.75
"78",2000-03-20,0,13.5,-1,6.25
"79",2000-03-21,0,15,2,8.5
"80",2000-03-22,0.5,18,9,13.5
"81",2000-03-23,15.5,17,11,14
"82",2000-03-24,0,18,9,13.5
"83",2000-03-25,2.6,10,4,7
"84",2000-03-26,19,10,4,7
"85",2000-03-27,30.9,9,7,8
"86",2000-03-28,10,8,3,5.5
"87",2000-03-29,0,10,3.5,6.75
"88",2000-03-30,13,14,1,7.5
"89",2000-03-31,2,10,1,5.5
"90",2000-04-01,0,18,4,11
"91",2000-04-02,2.3,18,7,12.5
"92",2000-04-03,4.9,17,10,13.5
"93",2000-04-04,17,10,9,9.5
"94",2000-04-05,12.8,9.5,6,7.75
"95",2000-04-06,0,11,5.5,8.25
"96",2000-04-07,0,21,1,11
"97",2000-04-08,0.5,13,3,8
"98",2000-04-09,24.6,18,9,13.5
"99",2000-04-10,14.9,10,9,9.5
"100",2000-04-11,17.5,10.5,8.5,9.5
"101",2000-04-12,4.9,10.5,8,9.25
"102",2000-04-13,0.1,17,8,12.5
"103",2000-04-14,9.6,20,8,14
"104",2000-04-15,0,16.5,4,10.25
"105",2000-04-16,3.8,18.5,9,13.75
"106",2000-04-17,0.2,19.5,9,14.25
"107",2000-04-18,7.8,16.5,4.5,10.5
"108",2000-04-19,0.6,20.5,8,14.25
"109",2000-04-20,0,26,10,18
"110",2000-04-21,0,26,12,19
"111",2000-04-22,14,21,13,17
"112",2000-04-23,8.5,16,8,12
"113",2000-04-24,0,21.5,6,13.75
"114",2000-04-25,1,25,10,17.5
"115",2000-04-26,15.5,17.5,12,14.75
"116",2000-04-27,25.4,10,10,10
"117",2000-04-28,0.3,14,7,10.5
"118",2000-04-29,0,18.5,5,11.75
"119",2000-04-30,0,21,8.5,14.75
"120",2000-05-01,0,26,8,17
"121",2000-05-02,0,26,9,17.5
"122",2000-05-03,0,26.5,8.5,17.5
"123",2000-05-04,0,22,11.5,16.75
"124",2000-05-05,0,25.5,11,18.25
"125",2000-05-06,0.4,22,11,16.5
"126",2000-05-07,12.5,24,13.5,18.75
"127",2000-05-08,0.3,23,12,17.5
"128",2000-05-09,14.9,22,11.5,16.75
"129",2000-05-10,0.9,22,14.5,18.25
"130",2000-05-11,2.5,18.5,14,16.25
"131",2000-05-12,3.3,22,13,17.5
"132",2000-05-13,0,26,12,19
"133",2000-05-14,0,30,12,21
"134",2000-05-15,3.1,30,15,22.5
"135",2000-05-16,4.6,30,15,22.5
"136",2000-05-17,0.2,15,14,14.5
"137",2000-05-18,0.8,18,12,15
"138",2000-05-19,0,16,12,14
"139",2000-05-20,0,22,7.5,14.75
"140",2000-05-21,1.5,15,11,13
"141",2000-05-22,0,18.5,12,15.25
"142",2000-05-23,0,26,8,17
"143",2000-05-24,0,26.5,9,17.75
"144",2000-05-25,0.7,20,13,16.5
"145",2000-05-26,7.6,26,12,19
"146",2000-05-27,2.6,22,12.5,17.25
"147",2000-05-28,6.1,21.5,14,17.75
"148",2000-05-29,0.2,19,16,17.5
"149",2000-05-30,0,25.5,16,20.75
"150",2000-05-31,0,20,15,17.5
"151",2000-06-01,0.7,32,13,22.5
"152",2000-06-02,0,33,14,23.5
"153",2000-06-03,0,20,17,18.5
"154",2000-06-04,3.6,18,16,17
"155",2000-06-05,7.7,14,14,14
"156",2000-06-06,0.1,18,10,14
"157",2000-06-07,0,21.5,10,15.75
"158",2000-06-08,0,30,10,20
"159",2000-06-09,56,18,16,17
"160",2000-06-10,13.6,14,12,13
"161",2000-06-11,6.8,14,8,11
"162",2000-06-12,0,18.5,11,14.75
"163",2000-06-13,0,20,14,17
"164",2000-06-14,0,22,15,18.5
"165",2000-06-15,0,28.5,16,22.25
"166",2000-06-16,0,33,15,24
"167",2000-06-17,0,33,13,23
"168",2000-06-18,0,33.5,16,24.75
"169",2000-06-19,0,33,21,27
"170",2000-06-20,0,30,20,25
"171",2000-06-21,0.2,26,16,21
"172",2000-06-22,0.9,18,17,17.5
"173",2000-06-23,0.2,18.5,15,16.75
"174",2000-06-24,0.2,18.5,13,15.75
"175",2000-06-25,0,26,11,18.5
"176",2000-06-26,5.1,30,15,22.5
"177",2000-06-27,0,30,17,23.5
"178",2000-06-28,0,24,13,18.5
"179",2000-06-29,0,23,16,19.5
"180",2000-06-30,0,30,16,23
"181",2000-07-01,0,29,17,23
"182",2000-07-02,0,29,17,23
"183",2000-07-03,14.4,30,15,22.5
"184",2000-07-04,0,22,14,18
"185",2000-07-05,0,26.5,13,19.75
"186",2000-07-06,0,34,15.5,24.75
"187",2000-07-07,6,22,15,18.5
"188",2000-07-08,0.2,22,15,18.5
"189",2000-07-09,4.2,25.5,12,18.75
"190",2000-07-10,30.4,17.5,15,16.25
"191",2000-07-11,28.5,18,12,15
"192",2000-07-12,0.2,20,13,16.5
"193",2000-07-13,0.7,21,11,16
"194",2000-07-14,13.7,18,12,15
"195",2000-07-15,11.2,18,16,17
"196",2000-07-16,0,22,16,19
"197",2000-07-17,0,25,12,18.5
"198",2000-07-18,0,29,14,21.5
"199",2000-07-19,0,28,15,21.5
"200",2000-07-20,0,28,16,22
"201",2000-07-21,0,33.5,17,25.25
"202",2000-07-22,0,29,20,24.5
"203",2000-07-23,0.5,26,18.5,22.25
"204",2000-07-24,5.1,26,16,21
"205",2000-07-25,5.7,21.5,17,19.25
"206",2000-07-26,0,26,14.5,20.25
"207",2000-07-27,0.6,24.5,14,19.25
"208",2000-07-28,0,25.5,16,20.75
"209",2000-07-29,0,25,14,19.5
"210",2000-07-30,0,28,14,21
"211",2000-07-31,0,33.5,16,24.75
"212",2000-08-01,0.5,26,17,21.5
"213",2000-08-02,0,22,17,19.5
"214",2000-08-03,21.9,19,16,17.5
"215",2000-08-04,12.1,22,15,18.5
"216",2000-08-05,0.2,22,15,18.5
"217",2000-08-06,0.2,22,15,18.5
"218",2000-08-07,0,23,14,18.5
"219",2000-08-08,0,29.5,14.5,22
"220",2000-08-09,0,30,16,23
"221",2000-08-10,0,30,16.5,23.25
"222",2000-08-11,23.4,27.5,17,22.25
"223",2000-08-12,0.3,20,17.5,18.75
"224",2000-08-13,0,29,16.5,22.75
"225",2000-08-14,0,30,17,23.5
"226",2000-08-15,0,26,17.5,21.75
"227",2000-08-16,0.2,29.5,19,24.25
"228",2000-08-17,0.4,23.5,19,21.25
"229",2000-08-18,1.7,31.5,19.5,25.5
