,date,sitio,precipitacion,tempmax,tempmin,temp_air_celcius
1,01/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),2.3,NA,NA,NA
2,02/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),2.7,NA,NA,NA
3,03/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),2.1,NA,NA,NA
4,04/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.1,NA,NA,NA
5,05/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
6,06/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
7,07/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.7,NA,NA,NA
8,08/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
9,09/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),9.6,NA,NA,NA
10,10/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
11,11/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
12,12/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
13,13/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
14,14/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
15,15/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
16,16/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
17,17/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
18,18/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
19,19/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
20,20/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
21,21/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
22,22/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
23,23/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
24,24/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
25,25/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
26,26/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
27,27/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
28,28/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),4.2,NA,NA,NA
29,29/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
30,30/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
31,31/01/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
32,01/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
33,02/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
34,03/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),6.8,NA,NA,NA
35,04/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
36,05/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),6,NA,NA,NA
37,06/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
38,07/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),13.1,NA,NA,NA
39,08/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),27.8,NA,NA,NA
40,09/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),7.7,NA,NA,NA
41,10/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
42,11/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.7,NA,NA,NA
43,12/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.1,NA,NA,NA
44,13/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),4.1,NA,NA,NA
45,14/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.2,NA,NA,NA
46,15/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
47,16/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
48,17/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
49,18/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),4.2,NA,NA,NA
50,19/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.5,NA,NA,NA
51,20/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
52,21/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),2.8,NA,NA,NA
53,22/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.2,NA,NA,NA
54,23/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.4,NA,NA,NA
55,24/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),7.9,NA,NA,NA
56,25/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),5.1,NA,NA,NA
57,26/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),1,NA,NA,NA
58,27/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
59,28/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
60,29/02/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
61,01/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),2.6,NA,NA,NA
62,02/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
63,03/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
64,04/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
65,05/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
66,06/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
67,07/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),3.5,NA,NA,NA
68,08/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),7.4,NA,NA,NA
69,09/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
70,10/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
71,11/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0.9,NA,NA,NA
72,12/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
73,13/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
74,14/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
75,15/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),6.4,NA,NA,NA
76,16/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.4,NA,NA,NA
77,17/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
78,18/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
79,19/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),12,NA,NA,NA
80,20/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.8,NA,NA,NA
81,21/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
82,22/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
83,23/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
84,24/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
85,25/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),20.4,NA,NA,NA
86,26/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
87,27/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
88,28/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
89,29/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),19.5,NA,NA,NA
90,30/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),4.8,NA,NA,NA
91,31/03/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
92,01/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
93,02/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
94,03/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),2.5,NA,NA,NA
95,04/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),2.1,NA,NA,NA
96,05/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),2.2,NA,NA,NA
97,06/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0.6,NA,NA,NA
98,07/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
99,08/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
100,09/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
101,10/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
102,11/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
103,12/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),5.4,NA,NA,NA
104,13/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),9.6,NA,NA,NA
105,14/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0.3,NA,NA,NA
106,15/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0.6,NA,NA,NA
107,16/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
108,17/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
109,18/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0.2,NA,NA,NA
110,19/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
111,20/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
112,21/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),25.1,NA,NA,NA
113,22/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),19.7,NA,NA,NA
114,23/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
115,24/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
116,25/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
117,26/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),3.9,NA,NA,NA
118,27/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0.8,NA,NA,NA
119,28/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),3.7,NA,NA,NA
120,29/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.2,NA,NA,NA
121,30/04/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
122,01/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),13.3,NA,NA,NA
123,02/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
124,03/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0.3,NA,NA,NA
125,04/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),3.5,NA,NA,NA
126,05/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.8,NA,NA,NA
127,06/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.8,NA,NA,NA
128,07/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
129,08/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),10,NA,NA,NA
130,09/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
131,10/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
132,11/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0.3,NA,NA,NA
133,12/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
134,13/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
135,14/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
136,15/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
137,16/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
138,17/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
139,18/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),0,NA,NA,NA
140,19/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),5.9,NA,NA,NA
141,20/05/1968,BARRIOMARTIN (MOLINO PIQUERAS),1.3,NA,NA,NA
