fecha,month,precip_total_dia_mm,hr_mean_porc,hr_max_porc,hr_min_porc,temp_mean_c,temp_max_c,temp_min_c
20230101,jan,0,47,65,34,13,16,8.7
20230102,jan,3.5,95,99,82,5.9,8.7,4.1
20230103,jan,0,82,98,69,4.8,6.8,2.1
20230104,jan,0,74,93,47,7.3,11.5,2.3
20230105,jan,0,86,99,74,7.5,10.3,5.5
20230106,jan,0,66,86,34,6.3,9.3,1.4
20230107,jan,1.9,90,99,79,5.3,8,0.8
20230108,jan,5.1,96,99,86,7,9.8,5.3
20230109,jan,0.7,75,99,57,5.2,8.4,2.7
20230110,jan,0,81,94,66,5.9,10.9,3.2
20230111,jan,2.9,94,99,86,6.1,8.4,3.5
20230112,jan,0,79,99,61,5.7,9.5,3
20230113,jan,0.2,95,99,79,4.8,7.2,2.7
20230114,jan,0,90,99,80,6.7,9.2,2.6
20230115,jan,9,85,99,61,3.6,7.9,1
20230116,jan,24.5,98,99,77,3.9,6.8,0.8
20230117,jan,13.4,94,99,80,1.6,6.7,-1.4
20230118,jan,25.2,99,99,99,-1.5,-0.2,-2.4
20230119,jan,14.4,99,99,97,0.6,6,-1.3
20230120,jan,4.3,97,99,83,1.4,3.5,0.2
20230121,jan,0,81,99,50,0.3,2.4,-1.3
20230122,jan,0,99,99,81,-1.2,0.5,-3.1
20230123,jan,5.3,86,99,91,-1.1,-0.6,-1.8
20230124,jan,6.4,99,99,99,-1.8,-1.2,-2.4
20230125,jan,3.4,99,99,99,-1,1.2,-2.6
20230126,jan,7.6,99,99,99,0.7,1.6,-0.4
20230127,jan,13,99,99,99,-0.4,0.5,-1.3
20230128,jan,7.8,99,99,99,-0.6,0.1,-1.4
20230129,jan,1.6,99,99,99,-0.8,0.1,-1.4
20230130,jan,0.1,99,99,99,-0.4,0.1,-1.6
20230131,jan,0.8,99,99,99,1.5,2.7,-0.1
20230201,feb,3.6,98,99,93,2.3,2.9,1.3
20230202,feb,0,93,99,82,2,4.2,0.3
20230203,feb,0,69,99,22,4.6,10.2,0.9
20230204,feb,0,89,99,18,2.2,7.1,0.6
20230205,feb,0,99,99,94,2.4,3,1.9
20230206,feb,0,93,99,79,1,2.5,-0.7
20230207,feb,1.9,102,99,91,0.2,1.8,-1.6
20230208,feb,0,86,99,56,4,9.4,0.3
20230209,feb,0,86,99,63,2.4,5.5,0.7
20230210,feb,0,70,95,43,3.1,8.4,0
20230211,feb,0,80,99,66,1.4,5.8,-2.2
20230212,feb,0,75,95,57,2.3,7.1,-1.3
20230213,feb,0,68,88,42,4.4,9.4,-0.3
20230214,feb,0,73,99,49,4.7,9,0.4
20230215,feb,0,80,99,49,5.4,12,0.8
20230216,feb,0,58,72,40,8.7,12.3,5.5
20230217,feb,0,52,69,38,10.5,15.8,6.4
20230218,feb,0,48,75,24,8.9,14.5,4.5
20230219,feb,0,83,99,37,7.4,10.3,4.1
20230220,feb,0,59,94,33,11.1,16.6,6.7
20230221,feb,0,66,99,40,9.4,15,6.6
20230222,feb,6.6,99,99,94,6.1,7,3.2
20230223,feb,22.1,99,99,99,-0.3,3,-1.9
20230224,feb,0,93,99,78,-0.5,2.4,-2.9
20230225,feb,0.1,87,97,68,1.5,5.3,-1.7
20230226,feb,2.2,93,99,77,-0.2,1.3,-2.5
20230227,feb,3.1,92,99,75,-3.2,-2.5,-3.9
20230228,feb,0.7,99,99,99,-2.3,-1.2,-3.3
20230301,mar,0.1,99,99,99,-2.5,-0.3,-3.5
20230302,mar,0,99,99,92,-0.3,1.9,-2.5
20230303,mar,0,99,99,96,0.8,1.4,-0.1
