"","date","sitio","precipitacion","tempmax","tempmin","temp_air_celcius"
"1",2006-01-01,"SOMOSIERRA",1.1,2.1,-1.5,0.3
"2",2006-01-02,"SOMOSIERRA",0,0.2,-1.9,-0.85
"3",2006-01-03,"SOMOSIERRA",0,-0.1,-1.7,-0.9
"4",2006-01-04,"SOMOSIERRA",0.5,1,-2.6,-0.8
"5",2006-01-05,"SOMOSIERRA",0.1,3.1,0,1.55
"6",2006-01-06,"SOMOSIERRA",0.6,1.1,-0.7,0.2
"7",2006-01-07,"SOMOSIERRA",4.7,4.5,-0.4,2.05
"8",2006-01-08,"SOMOSIERRA",2.1,2.6,0,1.3
"9",2006-01-09,"SOMOSIERRA",0.1,1.9,-2,-0.05
"10",2006-01-10,"SOMOSIERRA",1.5,2.1,-3.4,-0.65
"11",2006-01-11,"SOMOSIERRA",0,5.1,-1.3,1.9
"12",2006-01-12,"SOMOSIERRA",0,7.5,-1.3,3.1
"13",2006-01-13,"SOMOSIERRA",0.1,4.1,-1.7,1.2
"14",2006-01-14,"SOMOSIERRA",0,3,-3.1,-0.05
"15",2006-01-15,"SOMOSIERRA",0,0.7,-2.3,-0.8
"16",2006-01-16,"SOMOSIERRA",3.7,0.9,-2.1,-0.6
"17",2006-01-17,"SOMOSIERRA",3.1,4.3,-1.7,1.3
"18",2006-01-18,"SOMOSIERRA",0.3,3,0.3,1.65
"19",2006-01-19,"SOMOSIERRA",0,4.2,0,2.1
"20",2006-01-20,"SOMOSIERRA",0,10,-0.6,4.7
"21",2006-01-21,"SOMOSIERRA",0.1,0.8,-3.4,-1.3
"22",2006-01-22,"SOMOSIERRA",0.1,2,-4,-1
"23",2006-01-23,"SOMOSIERRA",0,6.5,-1.1,2.7
"24",2006-01-24,"SOMOSIERRA",0,3.2,-2.4,0.4
"25",2006-01-25,"SOMOSIERRA",0,2.4,-3.4,-0.5
"26",2006-01-26,"SOMOSIERRA",0,2.9,-5.4,-1.25
"27",2006-01-27,"SOMOSIERRA",0,-2.7,-9.7,-6.2
"28",2006-01-28,"SOMOSIERRA",0,-4.7,-10.1,-7.4
"29",2006-01-29,"SOMOSIERRA",0,-0.1,-8.1,-4.1
"30",2006-01-30,"SOMOSIERRA",0,0.3,-7.8,-3.75
"31",2006-01-31,"SOMOSIERRA",0,4,-4.1,-0.0499999999999998
"32",2006-02-01,"SOMOSIERRA",0,8.9,1.1,5
"33",2006-02-02,"SOMOSIERRA",0,9,0.9,4.95
"34",2006-02-03,"SOMOSIERRA",0,8.3,-0.7,3.8
"35",2006-02-04,"SOMOSIERRA",0,0.6,-5.9,-2.65
"36",2006-02-05,"SOMOSIERRA",0,2.5,-6.7,-2.1
"37",2006-02-06,"SOMOSIERRA",0,7.6,-3.4,2.1
"38",2006-02-07,"SOMOSIERRA",0,10.2,-0.3,4.95
"39",2006-02-08,"SOMOSIERRA",0,8.6,0.2,4.4
"40",2006-02-09,"SOMOSIERRA",0,11.6,0.2,5.9
"41",2006-02-10,"SOMOSIERRA",0,10.8,2.4,6.6
"42",2006-02-11,"SOMOSIERRA",0,9.5,1.2,5.35
"43",2006-02-12,"SOMOSIERRA",0,10.3,0.5,5.4
"44",2006-02-13,"SOMOSIERRA",0,12.5,0.5,6.5
"45",2006-02-14,"SOMOSIERRA",0,11.3,1.3,6.3
"46",2006-02-15,"SOMOSIERRA",0.1,9.1,0.4,4.75
"47",2006-02-16,"SOMOSIERRA",0.8,7.6,0.9,4.25
"48",2006-02-17,"SOMOSIERRA",1.4,6.9,-0.3,3.3
"49",2006-02-18,"SOMOSIERRA",2.3,6.1,-0.3,2.9
"50",2006-02-19,"SOMOSIERRA",1.7,0.8,-2.4,-0.8
"51",2006-02-20,"SOMOSIERRA",1.5,1.4,-2.9,-0.75
"52",2006-02-21,"SOMOSIERRA",0,-0.3,-4.5,-2.4
"53",2006-02-22,"SOMOSIERRA",5.5,0.4,-7.3,-3.45
"54",2006-02-23,"SOMOSIERRA",1.5,-1.1,-6.1,-3.6
"55",2006-02-24,"SOMOSIERRA",5.1,0.5,-5.3,-2.4
"56",2006-02-25,"SOMOSIERRA",0,-0.2,-5.2,-2.7
"57",2006-02-26,"SOMOSIERRA",1.4,0.4,-3.8,-1.7
"58",2006-02-27,"SOMOSIERRA",2.9,-0.9,-7,-3.95
"59",2006-02-28,"SOMOSIERRA",8.6,3.6,-6.8,-1.6
"60",2006-03-01,"SOMOSIERRA",0,3.1,-6.6,-1.75
"61",2006-03-02,"SOMOSIERRA",0,5.7,-5.3,0.2
"62",2006-03-03,"SOMOSIERRA",0.1,5.8,0.3,3.05
"63",2006-03-04,"SOMOSIERRA",4.1,4.3,-0.2,2.05
"64",2006-03-05,"SOMOSIERRA",0,-0.1,-6.5,-3.3
"65",2006-03-06,"SOMOSIERRA",1.7,1.9,-4.9,-1.5
"66",2006-03-07,"SOMOSIERRA",0.3,5.7,-3.1,1.3
"67",2006-03-08,"SOMOSIERRA",0,10.1,2.6,6.35
"68",2006-03-09,"SOMOSIERRA",2.4,5.1,-0.5,2.3
"69",2006-03-10,"SOMOSIERRA",0,4.4,-2.1,1.15
"70",2006-03-11,"SOMOSIERRA",0,8.5,0.5,4.5
"71",2006-03-12,"SOMOSIERRA",0,9.2,2.4,5.8
"72",2006-03-13,"SOMOSIERRA",0,16.3,3.2,9.75
"73",2006-03-14,"SOMOSIERRA",0,15.9,4.1,10
"74",2006-03-15,"SOMOSIERRA",0,16.4,4.9,10.65
"75",2006-03-16,"SOMOSIERRA",0,14.6,4.5,9.55
"76",2006-03-17,"SOMOSIERRA",16.9,7.1,4.9,6
"77",2006-03-18,"SOMOSIERRA",10.6,6.4,2.5,4.45
"78",2006-03-19,"SOMOSIERRA",6.3,5.1,0.5,2.8
"79",2006-03-20,"SOMOSIERRA",1.7,5.4,0.3,2.85
"80",2006-03-21,"SOMOSIERRA",0.5,7.4,1.8,4.6
"81",2006-03-22,"SOMOSIERRA",2.5,4.3,0.5,2.4
"82",2006-03-23,"SOMOSIERRA",6.6,5.4,2.1,3.75
"83",2006-03-24,"SOMOSIERRA",0,9.8,3.7,6.75
"84",2006-03-25,"SOMOSIERRA",0,11.7,3.4,7.55
"85",2006-03-26,"SOMOSIERRA",0,12.5,5.5,9
"86",2006-03-27,"SOMOSIERRA",2.8,11.5,4.3,7.9
"87",2006-03-28,"SOMOSIERRA",0,9.4,0.9,5.15
"88",2006-03-29,"SOMOSIERRA",0.5,12.1,1.2,6.65
"89",2006-03-30,"SOMOSIERRA",0,13.3,5.4,9.35
