Month,Tmean,Tmin.abs,Tmin.mean,Tmax.abs,Tmax.mean,Pp.mean
1,2.481417639,-9.608333,0.461176239,19.79,5.144019178,103.0102171
2,3.149822578,-9.861667,0.737422574,22.37,6.101178703,63.50219963
3,5.584702493,-8.828333,2.649062268,23.44,8.901637083,72.82128773
4,7.281267793,-4.77,4.006568837,24.75,10.75014171,83.3692707
5,11.096255,-1.966667,7.063524558,27.45,15.19403174,87.37258875
6,16.06403506,1.91,11.25168948,30.11167,20.59202151,38.756339
7,19.14073674,3.45,13.94701378,31.66,24.01505487,21.85101968
8,18.87575571,3.87,13.79452586,32.39833,23.88756976,21.90597259
9,14.54394811,0.455,10.49835943,30.735,18.94828188,62.77856369
10,10.3783811,-2.728333,7.506999983,24.38833,13.79692843,114.5768796
11,5.145408084,-8.091667,3.116681991,19.93667,7.665998841,103.3753917
12,3.473320912,-10.60833,1.468740651,18.03333,6.05031035,105.2429599
