"site","date","Pday_mm","TmaxDay_C","TminDay_C","TmeanDay_C","TmaxDay_C_2d","TminDay_C_2d","TmeanDay_C_2d","P_2d","TmaxDay_C_3d","TminDay_C_3d","TmeanDay_C_3d","P_3d","TmaxDay_C_4d","TminDay_C_4d","TmeanDay_C_4d","P_4d","TmaxDay_C_5d","TminDay_C_5d","TmeanDay_C_5d","P_5d","TmaxDay_C_6d","TminDay_C_6d","TmeanDay_C_6d","P_6d","TmaxDay_C_7d","TminDay_C_7d","TmeanDay_C_7d","P_7d","TmaxDay_C_8d","TminDay_C_8d","TmeanDay_C_8d","P_8d","TmaxDay_C_9d","TminDay_C_9d","TmeanDay_C_9d","P_9d","TmaxDay_C_10d","TminDay_C_10d","TmeanDay_C_10d","P_10d"
"art",2023-06-07,0,24,14.5,19.25,25.5,13.75,19.625,1.1,25.1666666666667,13.1666666666667,19.1666666666667,6.5,24.75,12.875,18.8125,6.5,25,12.6,18.8,6.5,25.0833333333333,12.5,18.7916666666667,6.5,24.5714285714286,12.0714285714286,18.3214285714286,6.5,24.1875,11.9375,18.0625,6.5,24.2222222222222,11.8888888888889,18.0555555555556,6.5,24.05,12,18.025,6.5
"art",2023-08-31,0,23.5,10.5,17,20.75,12.5,16.625,19.6,19.8333333333333,13,16.4166666666667,31.4,19.5,13.25,16.375,109.1,19.2,13.3,16.25,168.9,19.25,13.75,16.5,178.9,19.7142857142857,14.5,17.1071428571429,181.4,21.25,15.0625,18.15625,181.9,22.5,15.4444444444444,18.9722222222222,181.9,23.05,15.85,19.45,181.9
"ber",2023-06-08,0,27.4,16.4,21.9,26.55,15.9,21.225,0,26.9333333333333,16.0666666666667,21.5,1.1,26.875,15.45,21.1625,10.7,26.7,14.88,20.79,11.5,26.7833333333333,14.4833333333333,20.6333333333333,12.5,26.9142857142857,14.2714285714286,20.5928571428571,12.5,26.425,14.15,20.2875,12.5,26.3777777777778,14.1444444444444,20.2611111111111,12.5,26.44,14.09,20.265,12.9
"ber",2023-08-30,4.1,19.4,14.6,17,20,14.65,17.325,9.6,20.0666666666667,14.4666666666667,17.2666666666667,54.5,19.85,14.375,17.1125,97.1,20.16,15.06,17.61,100.3,21.1,15.9166666666667,18.5083333333333,100.3,23.7571428571429,16.5428571428571,20.15,100.3,25.475,17.175,21.325,100.3,26.1222222222222,17.6222222222222,21.8722222222222,100.3,26.75,17.95,22.35,100.3
"diu",2023-06-15,0,24,7,15.5,22,9,15.5,0,20,9.33333333333333,14.6666666666667,5.5,20,9.5,14.75,13.3,20,9.8,14.9,58.8,20.5,9.83333333333333,15.1666666666667,58.8,20.1428571428571,10.2857142857143,15.2142857142857,60.1,19.625,10.625,15.125,63.6,19.4444444444444,10.5555555555556,15,63.6,19.6,10.5,15.05,94.6
"diu",2023-09-01,0,28,9,18.5,27.5,7.5,17.5,0,25.3333333333333,8.33333333333333,16.8333333333333,0,23.75,8.75,16.25,0,22.8,9,15.9,0,21.3333333333333,9,15.1666666666667,0,22.1428571428571,9.57142857142857,15.8571428571429,0,23.25,9.875,16.5625,0,24.6666666666667,10.2222222222222,17.4444444444444,0,25.8,10.5,18.15,0
"hmo",2023-05-31,1.6,21.6,6.84,14.1196527777778,21.165,7.14,13.7752777777778,3.2,21,7.75,13.8877777777778,3.2,20.9925,8,13.8809895833333,8.8,21.028,8.314,14.2221666666667,8.8,20.4516666666667,7.94833333333333,13.9595486111111,8.8,19.13,7.29571428571429,13.147876984127,10.1,18.37125,7.53125,12.8527083333333,10.5,18.0388888888889,7.83,12.7800694444444,10.6,17.428,7.881,12.5015694444444,10.6
"hmo",2023-07-20,0,21.67,11.9,15.6466666666667,21.47,12.295,15.9553125,0,24.82,12.91,17.8986574074074,0,25.31,12.7625,18.2268055555556,0,24.568,11.57,17.5074305555556,0,24.2466666666667,11.4533333333333,17.1558796296296,0,25.28,11.3557142857143,17.7982638888889,0,24.8425,11.3075,17.6149479166667,1.3,24.4922222222222,11.14,17.4055015432099,1.3,24.771,11.316,17.6822916666667,1.3
"hmo",2023-09-26,0,23.44,11.44,17.2939583333333,24.405,8.265,16.5651388888888,0,24.2033333333333,6.92333333333333,15.3761111111111,0,22.64,6.4825,14.3359548611111,0,20.932,5.798,13.3107083333333,0.3,19.8866666666667,6.21166666666667,13.1125115740741,10.8,20.2371428571429,7.06857142857143,13.6345138888889,10.9,20.4625,7.21875,13.8434027777778,11.5,20.4811111111111,7.46777777777778,13.8810262345679,11.5,20.191,7.781,14.0493888888889,16.3
"itu",2023-06-06,0.2,22.55,7.55,14.5979166666667,20.4,7.725,13.509375,3.4,19.6,7.33333333333333,13.1166666666667,6,19.6875,7.0875,12.7322916666667,19.6,19.29,7.45,12.6104166666667,26.8,18.9916666666667,7.775,12.4923611111111,31.6,19.0214285714286,7.55714285714286,12.5729166666667,31.6,19.2,7.28125,12.5033854166667,32.2,19.2166666666667,7.37777777777778,12.5502314814815,34.6,18.745,7.46,12.4172916666667,37.6
"itu",2023-08-29,0,19.35,7.45,13.3770833333333,19.65,7.4,13.453125,0,18.7166666666667,7.83333333333333,13.2263888888889,0,20.4625,10.025,15.28125,0,22.49,10.42,16.7175,0,24.2583333333333,10.8,17.5,0,25.5785714285714,11.1714285714286,18.1598214285714,0,26.65625,11.51875,18.7028645833333,0,27.5277777777778,11.7333333333333,19.1219907407407,0,28.155,11.785,19.3708333333333,0
"msa",2023-05-30,23.2,20.84,12.84,15.205,19.715,12.46,15.0065277777778,23.2,19.98,12.6633333333333,15.4880787037037,23.2,20.7425,12.825,16.1059548611111,23.2,20.354,11.646,15.5754583333333,23.2,18.825,10.73,14.4127662037037,24.4,17.7657142857143,10.4785714285714,13.8187797619048,27.7,17.1575,10.45125,13.4754861111111,31.3,16.5988888888889,10.1955555555556,13.0908796296296,31.3,16.221,9.78,12.7015486111111,31.3
"msa",2023-08-22,0,27.02,15.9,21.0208333333333,27.215,15.69,20.6428125,0,25.9166666666667,15.6566666666667,19.9333333333333,0,26.67,15.97,20.42046875,0,27.502,16.204,21.0449166666667,0,27.4616666666667,15.775,20.5782638888889,0.2,25.8771428571429,15.57,19.8085615079365,3.6,24.98875,15.30625,19.2750347222222,6,24.2944444444444,15.1444444444444,18.8479166666667,6.6,23.455,14.951,18.4155555555555,8
"msa",2023-09-04,0.3,24.77,16.22,20.6756944444444,23.02,14.845,18.9188194444444,0.3,20.5666666666667,14.35,17.3680092592592,5.5,21.2425,14.31,17.2827604166667,5.5,21.142,13.562,16.8989027777778,5.5,20.1733333333333,13.12,16.1833101851852,8.6,19.6442857142857,12.7471428571429,15.7259821428571,11.8,19.2175,12.5275,15.3865711805555,17.7,18.4388888888889,12.1522222222222,14.8624459876543,26.6,17.959,11.881,14.5549166666666,34.8
