date,site,season,id_plant,light_exposure,fw_l_lma,dw_l_lma,leaf area_cm2,SLA
,art,spring,1,shade_low,0.458,0.192,70.305,366.171875
,art,spring,2,shade_low,0.863,0.338,108.656,321.4674556
,art,spring,3,shade_low,0.662,0.272,88.205,324.2830882
,art,spring,4,shade_low,0.945,0.378,90.291,238.8650794
,art,spring,5,shade_low,0.603,0.26,89.108,342.7230769
,art,spring,6,shade_low,9999,9999,9999,9999
,ber,spring,1,shade_low,0.533,0.244,81.611,334.4713115
,ber,spring,2,shade_low,0.774,0.388,109.015,280.9664948
,ber,spring,3,shade_low,0.574,0.279,80.153,287.2867384
,ber,spring,4,shade_low,1.114,0.527,167.416,317.6774194
,ber,spring,5,shade_low,1.147,0.509,171.661,337.2514735
,ber,spring,6,shade_low,0.665,0.298,123.257,413.614094
,itu,spring,1,shade_low,0.765,0.265,119.092,449.4037736
,itu,spring,2,shade_low,0.922,0.316,142.969,452.4335443
,itu,spring,3,shade_low,0.617,0.227,101.891,448.8590308
,itu,spring,4,shade_low,0.783,0.256,119.328,466.125
,itu,spring,5,shade_low,1.43,0.513,248.341,484.0955166
,itu,spring,6,shade_low,0.752,0.267,139.673,523.1198502
,diu,spring,1,shade_low,0.573,0.214,87.265,407.7803738
,diu,spring,2,shade_low,1.44,0.646,151.972,235.250774
,diu,spring,3,shade_low,0.571,0.287,72.188,251.5261324
,diu,spring,4,shade_low,0.553,0.247,91.581,370.7732794
,diu,spring,5,shade_low,0.486,0.21,75.242,358.2952381
,diu,spring,6,shade_low,0.698,0.3,107.727,359.09
,art,summer,1,shade_low,0.473,0.187,72.903,389.855615
,art,summer,2,shade_low,0.81,0.386,95.253,246.7694301
,art,summer,3,shade_low,0.869,0.381,106.396,279.2545932
,art,summer,4,shade_low,0.717,0.327,101.07,309.0825688
,art,summer,5,shade_low,9999,9999,9999,9999
,art,summer,6,shade_low,9999,9999,9999,9999
,ber,summer,1,shade_low,0.713,0.342,100.872,294.9473684
,ber,summer,2,shade_low,0.673,0.315,99.727,316.5936508
,ber,summer,3,shade_low,0.838,0.452,106.384,235.3628319
,ber,summer,4,shade_low,0.682,0.351,105.363,300.1794872
,ber,summer,5,shade_low,0.91,0.432,136.231,315.349537
,ber,summer,6,shade_low,0.848,0.412,113.87,276.3834951
,itu,summer,1,shade_low,0.591,0.227,102.546,451.7444934
,itu,summer,2,shade_low,0.688,0.264,107.022,405.3863636
,itu,summer,3,shade_low,0.688,0.285,104.171,365.5122807
,itu,summer,4,shade_low,0.943,0.299,151.284,505.9665552
,itu,summer,5,shade_low,0.896,0.397,134.302,338.2921914
,itu,summer,6,shade_low,0.705,0.318,114.231,359.2169811
,diu,summer,1,shade_low,0.629,0.277,74.673,269.5776173
,diu,summer,2,shade_low,1.222,0.584,108.984,186.6164384
,diu,summer,3,shade_low,0.577,0.252,81.253,322.4325397
,diu,summer,4,shade_low,0.556,0.235,84.618,360.0765957
,diu,summer,5,shade_low,0.452,0.234,68.247,291.6538462
,diu,summer,6,shade_low,0.473,0.246,77.865,316.5243902
