site,campaign,id_plant,canopy_position,fw_l_lma,dw_l_lma,tla_suma,SLA
ART,spring23,ART1,shade_low,0.458,0.192,70.305,366.171875
ART,spring23,ART2,shade_low,0.863,0.338,108.656,321.4674556
ART,spring23,ART3,shade_low,0.662,0.272,88.205,324.2830882
ART,spring23,ART4,shade_low,0.945,0.378,90.291,238.8650794
ART,spring23,ART5,shade_low,0.603,0.26,89.108,342.7230769
ART,spring23,ART6,shade_low,9999,9999,9999,9999
BER,spring23,BER1,shade_low,0.533,0.244,81.611,334.4713115
BER,spring23,BER2,shade_low,0.774,0.388,109.015,280.9664948
BER,spring23,BER3,shade_low,0.574,0.279,80.153,287.2867384
BER,spring23,BER4,shade_low,1.114,0.527,167.416,317.6774194
BER,spring23,BER5,shade_low,1.147,0.509,171.661,337.2514735
BER,spring23,BER6,shade_low,0.665,0.298,123.257,413.614094
ITU,spring23,ITU1,shade_low,0.765,0.265,119.092,449.4037736
ITU,spring23,ITU2,shade_low,0.922,0.316,142.969,452.4335443
ITU,spring23,ITU3,shade_low,0.617,0.227,101.891,448.8590308
ITU,spring23,ITU4,shade_low,0.783,0.256,119.328,466.125
ITU,spring23,ITU5,shade_low,1.43,0.513,248.341,484.0955166
ITU,spring23,ITU6,shade_low,0.752,0.267,139.673,523.1198502
DIU,spring23,DIU1,shade_low,0.573,0.214,87.265,407.7803738
DIU,spring23,DIU2,shade_low,1.44,0.646,151.972,235.250774
DIU,spring23,DIU3,shade_low,0.571,0.287,72.188,251.5261324
DIU,spring23,DIU4,shade_low,0.553,0.247,91.581,370.7732794
DIU,spring23,DIU5,shade_low,0.486,0.21,75.242,358.2952381
DIU,spring23,DIU6,shade_low,0.698,0.3,107.727,359.09
ART,summer23,ART1,shade_low,0.473,0.187,72.903,389.855615
ART,summer23,ART2,shade_low,0.81,0.386,95.253,246.7694301
ART,summer23,ART3,shade_low,0.869,0.381,106.396,279.2545932
ART,summer23,ART4,shade_low,0.717,0.327,101.07,309.0825688
ART,summer23,ART5,shade_low,9999,9999,9999,9999
ART,summer23,ART6,shade_low,9999,9999,9999,9999
BER,summer23,BER1,shade_low,0.713,0.342,100.872,294.9473684
BER,summer23,BER2,shade_low,0.673,0.315,99.727,316.5936508
BER,summer23,BER3,shade_low,0.838,0.452,106.384,235.3628319
BER,summer23,BER4,shade_low,0.682,0.351,105.363,300.1794872
BER,summer23,BER5,shade_low,0.91,0.432,136.231,315.349537
BER,summer23,BER6,shade_low,0.848,0.412,113.87,276.3834951
ITU,summer23,ITU1,shade_low,0.591,0.227,102.546,451.7444934
ITU,summer23,ITU2,shade_low,0.688,0.264,107.022,405.3863636
ITU,summer23,ITU3,shade_low,0.688,0.285,104.171,365.5122807
ITU,summer23,ITU4,shade_low,0.943,0.299,151.284,505.9665552
ITU,summer23,ITU5,shade_low,0.896,0.397,134.302,338.2921914
ITU,summer23,ITU6,shade_low,0.705,0.318,114.231,359.2169811
DIU,summer23,DIU1,shade_low,0.629,0.277,74.673,269.5776173
DIU,summer23,DIU2,shade_low,1.222,0.584,108.984,186.6164384
DIU,summer23,DIU3,shade_low,0.577,0.252,81.253,322.4325397
DIU,summer23,DIU4,shade_low,0.556,0.235,84.618,360.0765957
DIU,summer23,DIU5,shade_low,0.452,0.234,68.247,291.6538462
DIU,summer23,DIU6,shade_low,0.473,0.246,77.865,316.5243902
