date,site,campaign,id_plant,canopy_position,length_cm,diameter_cm
20230607,ART,spring23,ART1,shade_low,7.2,0.54
20230607,ART,spring23,ART2,shade_low,6.85,0.52
20230607,ART,spring23,ART3,shade_low,5.85,0.49
20230607,ART,spring23,ART4,shade_low,6.45,0.51
20230607,ART,spring23,ART5,shade_low,6.63,0.52
20230608,BER,spring23,BER1,shade_low,6.2,0.53
20230608,BER,spring23,BER2,shade_low,6.87,0.5
20230608,BER,spring23,BER3,shade_low,6.14,0.4
20230608,BER,spring23,BER4,shade_low,6,0.4
20230608,BER,spring23,BER5,shade_low,7.77,0.5
20230608,BER,spring23,BER6,shade_low,6.77,0.49
20230606,ITU,spring23,ITU1,shade_low,6.47,0.66
20230606,ITU,spring23,ITU2,shade_low,7.5,0.5
20230606,ITU,spring23,ITU3,shade_low,6.68,0.66
20230606,ITU,spring23,ITU4,shade_low,6.58,0.52
20230606,ITU,spring23,ITU5,shade_low,7.11,0.42
20230606,ITU,spring23,ITU6,shade_low,6,0.4
20230615,DIU,spring23,DIU1,shade_low,7.2,0.36
20230615,DIU,spring23,DIU2,shade_low,7.4,0.45
20230615,DIU,spring23,DIU3,shade_low,7.17,0.54
20230615,DIU,spring23,DIU4,shade_low,7.72,0.51
20230615,DIU,spring23,DIU5,shade_low,7.7,0.56
20230615,DIU,spring23,DIU6,shade_low,6.4,0.69
20230531,MSA,spring23,MSA1,shade_low,7.2,0.6
20230531,MSA,spring23,MSA2,shade_low,7.4,0.5
20230531,MSA,spring23,MSA3,shade_low,6.64,0.44
20230601,MSA,spring23,MSA4,shade_low,7.9,0.5
20230531,MSA,spring23,MSA5,shade_low,8.6,0.4
20230601,MSA,spring23,MSA6,shade_low,5.11,0.7
20230531,MSA,spring23,MSA1,shade,7.1,0.51
20230530,MSA,spring23,MSA2,shade,9.96,0.5
20230531,MSA,spring23,MSA3,shade,6.08,0.4
20230601,MSA,spring23,MSA4,shade,6.67,0.5
20230531,MSA,spring23,MSA5,shade,7.3,0.55
20230601,MSA,spring23,MSA6,shade,5.67,0.62
20230531,MSA,spring23,MSA1,sun,7.1,0.54
20230530,MSA,spring23,MSA2,sun,4.67,0.8
20230530,MSA,spring23,MSA3,sun,6.87,0.69
20230601,MSA,spring23,MSA4,sun,6.43,0.55
20230531,MSA,spring23,MSA5,sun,6.4,0.56
20230601,MSA,spring23,MSA6,sun,6,0.9
20230831,ART,summer23,ART1,shade_low,6.18,0.47
20230831,ART,summer23,ART2,shade_low,5.9,0.35
20230831,ART,summer23,ART3,shade_low,5.45,0.42
20230831,ART,summer23,ART4,shade_low,6.8,0.5
20230831,ART,summer23,ART5,shade_low,5.3,0.4
20230830,BER,summer23,BER1,shade_low,6.4,0.65
20230830,BER,summer23,BER2,shade_low,6.32,0.56
20230830,BER,summer23,BER3,shade_low,4.73,0.4
20230830,BER,summer23,BER4,shade_low,5.3,0.35
20230830,BER,summer23,BER5,shade_low,6,0.4
20230830,BER,summer23,BER6,shade_low,5.5,0.36
20230829,ITU,summer23,ITU1,shade_low,5.3,0.62
20230829,ITU,summer23,ITU2,shade_low,5.66,0.43
20230829,ITU,summer23,ITU3,shade_low,5.92,0.45
20230829,ITU,summer23,ITU4,shade_low,4.57,0.57
20230829,ITU,summer23,ITU5,shade_low,4.4,0.5
20230829,ITU,summer23,ITU6,shade_low,6.76,0.4
20230901,DIU,summer23,DIU1,shade_low,4.96,0.4
20230901,DIU,summer23,DIU2,shade_low,6,0.46
20230901,DIU,summer23,DIU3,shade_low,5.4,0.45
20230901,DIU,summer23,DIU4,shade_low,6.9,0.39
20230901,DIU,summer23,DIU5,shade_low,4.1,0.5
20230901,DIU,summer23,DIU6,shade_low,5.9,0.29
20230823,MSA,summer23,MSA1,shade_low,0.69,14.74035273
20230822,MSA,summer23,MSA2,shade_low,0.52,10.78194599
20230823,MSA,summer23,MSA3,shade_low,NA,NA
20230824,MSA,summer23,MSA5,shade_low,0.54,13.06274225
20230824,MSA,summer23,MSA6,shade_low,0.77,14.27225543
20230823,MSA,summer23,MSA1,shade,5.5,0.7
20230822,MSA,summer23,MSA2,shade,6.11,0.44
20230823,MSA,summer23,MSA3,shade,5,0.49
20230824,MSA,summer23,MSA5,shade,6,0.4
20230824,MSA,summer23,MSA6,shade,6.2,0.47
20230823,MSA,summer23,MSA1,sun,5.96,0.51
20230822,MSA,summer23,MSA2,sun,6.63,0.73
20230823,MSA,summer23,MSA3,sun,5,0.4
20230824,MSA,summer23,MSA5,sun,6.3,0.51
20230824,MSA,summer23,MSA6,sun,4.5,0.63
20230904,MSA,late_summer,MSA1,shade_low,5,0.53
20230904,MSA,late_summer,MSA2,shade_low,5.7,0.42
20230904,MSA,late_summer,MSA3,shade_low,4.97,0.5
20230904,MSA,late_summer,MSA4,shade_low,5.1,0.29
20230904,MSA,late_summer,MSA5,shade_low,5.34,0.46
20230904,MSA,late_summer,MSA6,shade_low,6.2,0.49
