date,site,campaign,id_plant,canopy_position,dw_lph_g
20230607,ART,spring23,ART1,shade_low,0.425
20230607,ART,spring23,ART2,shade_low,0.318
20230607,ART,spring23,ART3,shade_low,0.48
20230607,ART,spring23,ART4,shade_low,0.581
20230607,ART,spring23,ART5,shade_low,0.46
20230608,BER,spring23,BER1,shade_low,0.429
20230608,BER,spring23,BER2,shade_low,0.505
20230608,BER,spring23,BER3,shade_low,0.528
20230608,BER,spring23,BER4,shade_low,0.635
20230608,BER,spring23,BER5,shade_low,0.527
20230608,BER,spring23,BER6,shade_low,0.587
20230606,ITU,spring23,ITU1,shade_low,0.38
20230606,ITU,spring23,ITU2,shade_low,0.406
20230606,ITU,spring23,ITU3,shade_low,0.388
20230606,ITU,spring23,ITU4,shade_low,0.392
20230606,ITU,spring23,ITU5,shade_low,0.699
20230606,ITU,spring23,ITU6,shade_low,0.408
20230615,DIU,spring23,DIU1,shade_low,0.345
20230615,DIU,spring23,DIU2,shade_low,1.025
20230615,DIU,spring23,DIU3,shade_low,0.564
20230615,DIU,spring23,DIU4,shade_low,0.542
20230615,DIU,spring23,DIU5,shade_low,0.494
20230615,DIU,spring23,DIU6,shade_low,0.517
20230531,MSA,spring23,MSA1,shade_low,0.718
20230531,MSA,spring23,MSA2,shade_low,0.977
20230531,MSA,spring23,MSA3,shade_low,0.514
20230601,MSA,spring23,MSA4,shade_low,0.379
20230531,MSA,spring23,MSA5,shade_low,0.436
20230601,MSA,spring23,MSA6,shade_low,0.438
20230531,MSA,spring23,MSA1,shade,0.558
20230530,MSA,spring23,MSA2,shade,1.111
20230531,MSA,spring23,MSA3,shade,0.375
20230601,MSA,spring23,MSA4,shade,0.316
20230531,MSA,spring23,MSA5,shade,0.591
20230601,MSA,spring23,MSA6,shade,0.604
20230531,MSA,spring23,MSA1,sun,0.395
20230530,MSA,spring23,MSA2,sun,1.23
20230530,MSA,spring23,MSA3,sun,0.432
20230601,MSA,spring23,MSA4,sun,0.461
20230531,MSA,spring23,MSA5,sun,0.335
20230601,MSA,spring23,MSA6,sun,0.474
20230831,ART,summer23,ART1,shade_low,0.351
20230831,ART,summer23,ART2,shade_low,0.987
20230831,ART,summer23,ART3,shade_low,0.736
20230831,ART,summer23,ART4,shade_low,0.586
20230831,ART,summer23,ART5,shade_low,0.574
20230830,BER,summer23,BER1,shade_low,0.825
20230830,BER,summer23,BER2,shade_low,1.021
20230830,BER,summer23,BER3,shade_low,1.007
20230830,BER,summer23,BER4,shade_low,0.998
20230830,BER,summer23,BER5,shade_low,1.435
20230830,BER,summer23,BER6,shade_low,0.785
20230829,ITU,summer23,ITU1,shade_low,0.815
20230829,ITU,summer23,ITU2,shade_low,0.688
20230829,ITU,summer23,ITU3,shade_low,0.683
20230829,ITU,summer23,ITU4,shade_low,0.957
20230829,ITU,summer23,ITU5,shade_low,0.981
20230829,ITU,summer23,ITU6,shade_low,0.999
20230901,DIU,summer23,DIU1,shade_low,0.656
20230901,DIU,summer23,DIU2,shade_low,1.097
20230901,DIU,summer23,DIU3,shade_low,0.51
20230901,DIU,summer23,DIU4,shade_low,0.515
20230901,DIU,summer23,DIU5,shade_low,0.604
20230901,DIU,summer23,DIU6,shade_low,0.549
20230823,MSA,summer23,MSA1,shade_low,0.899
20230822,MSA,summer23,MSA2,shade_low,1.428
20230823,MSA,summer23,MSA3,shade_low,0.853
20230824,MSA,summer23,MSA5,shade_low,0.515
20230824,MSA,summer23,MSA6,shade_low,0.716
20230823,MSA,summer23,MSA1,shade,0.95
20230822,MSA,summer23,MSA2,shade,1.628
20230823,MSA,summer23,MSA3,shade,0.472
20230824,MSA,summer23,MSA5,shade,0.535
20230824,MSA,summer23,MSA6,shade,0.613
20230823,MSA,summer23,MSA1,sun,0.933
20230822,MSA,summer23,MSA2,sun,1.235
20230823,MSA,summer23,MSA3,sun,0.545
20230824,MSA,summer23,MSA5,sun,0.41
20230824,MSA,summer23,MSA6,sun,0.684
