date,campaign,site,canopy_position,id_plant,sample_type,umol_suc_ml,ug_suc_ml
20230531,spring23,MSA,sun,MSA1,LPH,0.08053048,27.56558324
20230531,spring23,MSA,shade,MSA1,LPH,0.104100376,35.63355882
20230531,spring23,MSA,shade_low,MSA1,LPH,0.07070969,24.20392674
20230530,spring23,MSA,sun,MSA2,LPH,0.113921167,38.99521531
20230530,spring23,MSA,shade,MSA2,LPH,0.072673848,24.87625804
20230531,spring23,MSA,shade_low,MSA2,LPH,0.143383537,49.08018479
20230530,spring23,MSA,sun,MSA3,LPH,0.331942709,113.6239894
20230531,spring23,MSA,shade,MSA3,LPH,0.225878175,77.31809932
20230531,spring23,MSA,shade_low,MSA3,LPH,0.192487488,65.88846725
20230601,spring23,MSA,sun,MSA4,LPH,0.196415804,67.23312985
20230601,spring23,MSA,shade,MSA4,LPH,0.734595108,251.4519056
20230601,spring23,MSA,shade_low,MSA4,LPH,0.043211477,14.79128857
20230531,spring23,MSA,sun,MSA5,LPH,0.049103951,16.80828246
20230531,spring23,MSA,shade,MSA5,LPH,0.082494638,28.23791454
20230531,spring23,MSA,shade_low,MSA5,LPH,0.094279586,32.27190233
20230601,spring23,MSA,sun,MSA6,LPH,0.088387112,30.25490843
20230601,spring23,MSA,shade,MSA6,LPH,0.102136218,34.96122752
20230601,spring23,MSA,shade_low,MSA6,LPH,0.072673848,24.87625804
20230823,summer23,MSA,sun,MSA1,LPH,0.054996425,18.82527636
20230823,summer23,MSA,shade,MSA1,LPH,0.041247319,14.11895727
20230823,summer23,MSA,shade_low,MSA1,LPH,0.006547193,2.241104328
20230822,summer23,MSA,sun,MSA2,LPH,0.093297507,31.93573668
20230822,summer23,MSA,shade,MSA2,LPH,0.138800502,47.51141176
20230822,summer23,MSA,shade_low,MSA2,LPH,0.154841126,53.00211736
20230823,summer23,MSA,sun,MSA3,LPH,0.007856632,2.689325194
20230823,summer23,MSA,shade,MSA3,LPH,0.002291518,0.784386515
20230823,summer23,MSA,shade_low,MSA3,LPH,0.050740749,17.36855854
20230824,summer23,MSA,sun,MSA5,LPH,0.026516134,9.076472529
20230824,summer23,MSA,shade,MSA5,LPH,0.041247319,14.11895727
20230824,summer23,MSA,shade_low,MSA5,LPH,0.039283161,13.44662597
20230824,summer23,MSA,sun,MSA6,LPH,0.076274804,26.10886542
20230824,summer23,MSA,shade,MSA6,LPH,0.119813641,41.01220921
20230824,summer23,MSA,shade_low,MSA6,LPH,0.057287943,19.60966287
20230904,late_summer23,MSA,shade_low,MSA1,LPH,0.047139793,16.13595116
20230904,late_summer23,MSA,shade_low,MSA2,LPH,0.244865036,83.81730188
20230904,late_summer23,MSA,shade_low,MSA3,LPH,0.042884117,14.67923335
20230904,late_summer23,MSA,shade_low,MSA4,LPH,0.091988068,31.48751581
20230904,late_summer23,MSA,shade_low,MSA5,LPH,0.211801709,72.49972502
20230904,late_summer23,MSA,shade_low,MSA6,LPH,0.039283161,13.44662597
20230531,spring23,MSA,sun,MSA1,SPH,0.077673523,26.5876468
20230531,spring23,MSA,shade,MSA1,SPH,0.121063559,41.4400564
20230531,spring23,MSA,shade_low,MSA1,SPH,0.141955059,48.59121657
20230530,spring23,MSA,sun,MSA2,SPH,0.434971727,148.8908221
20230530,spring23,MSA,shade,MSA2,SPH,0.306140815,104.792001
20230531,spring23,MSA,shade_low,MSA2,SPH,0.186952134,63.99371541
20230530,spring23,MSA,sun,MSA3,SPH,0.200076281,68.4861109
20230531,spring23,MSA,shade,MSA3,SPH,0.127223873,43.54873183
20230531,spring23,MSA,shade_low,MSA3,SPH,0.132312828,45.29068111
20230601,spring23,MSA,sun,MSA4,SPH,0.216146665,73.98700334
20230601,spring23,MSA,shade,MSA4,SPH,0.100975579,34.56394084
20230601,spring23,MSA,shade_low,MSA4,SPH,0.159632481,54.64219826
20230531,spring23,MSA,sun,MSA5,SPH,0.222306979,76.09567878
20230531,spring23,MSA,shade,MSA5,SPH,0.259268862,88.7477314
20230531,spring23,MSA,shade_low,MSA5,SPH,0.243734157,83.43020204
20230601,spring23,MSA,sun,MSA6,SPH,0.272125169,93.14844535
20230601,spring23,MSA,shade,MSA6,SPH,0.11061781,37.86447631
20230601,spring23,MSA,shade_low,MSA6,SPH,0.1004399,34.38057776
20230823,summer23,MSA,sun,MSA1,SPH,1.478582464,506.1187773
20230823,summer23,MSA,shade,MSA1,SPH,1.57050506,537.583882
20230823,summer23,MSA,shade_low,MSA1,SPH,1.386499163,474.5986636
20230822,summer23,MSA,sun,MSA2,SPH,1.410176196,482.7033118
20230822,summer23,MSA,shade,MSA2,SPH,1.457315989,498.8392629
20230822,summer23,MSA,shade_low,MSA2,SPH,1.552827638,531.5329004
20230823,summer23,MSA,sun,MSA3,SPH,0.971186873,332.4372666
20230823,summer23,MSA,shade,MSA3,SPH,1.441834852,493.5400699
20230823,summer23,MSA,shade_low,MSA3,SPH,1.05003889,359.4283122
