date,season,id_plant,sample_type,light_exposure,site,Vol extraccion sac (ml),# de hojas,Vol_resusp (ml),Vol_final_pocillo_sac_(ml),Vol sacarosa (ml),Sacarosa 01,rep_S01,Sacarosa 02,rep_S02,Sac 02-01,Sac_rep_02-01,Promedio sacarosa,Aplicando la recta sacarosa_um_ml,ug_sac_ml,ug_C_ml,ug_C_MUESTRA (sin descontar lo usado para medir),ug_C_MUESTRA (descontando lo usado para medir),mg C capsulitas analisis isotopos
20230607,spring,1,LPH,shade_low,artikutza,1.8,10,0.5,0.25,0.015,0.31,0.32,0.318,0.32,0.008,0,0.004,0.015713264,5.378650388,2.259033163,1.129516581,1.061745587,
20230607,spring,2,LPH,shade_low,artikutza,1.8,10,0.5,0.25,0.015,0.312,0.311,0.316,0.32,0.004,0.009,0.0065,0.025534055,8.74030688,3.67092889,1.835464445,1.725336578,
20230607,spring,3,LPH,shade_low,artikutza,1.8,10,0.5,0.25,0.015,0.313,0.311,0.333,0.33,0.02,0.019,0.0195,0.076602164,26.22092064,11.01278667,5.506393334,5.176009734,
20230607,spring,4,LPH,shade_low,artikutza,1.8,10,0.5,0.25,0.015,0.335,0.34,0.334,0.337,-0.001,-0.003,-0.002,-0.007856632,-2.689325194,-1.129516581,-0.564758291,-0.530872793,
20230607,spring,5,LPH,shade_low,artikutza,1.8,10,0.5,0.25,0.015,0.349,0.351,0.349,0.358,0,0.007,0.0035,0.013749106,4.706319089,1.976654017,0.988327009,0.929027388,
20230607,spring,1,SPH,shade_low,artikutza,10,,,0.25,0.11,0.32,0.315,0.498,0.438,0.178,0.123,0.1505,0.08061976,27.59614375,11.59038038,115.9038038,113.3539201,0.115903804
20230607,spring,2,SPH,shade_low,artikutza,10,,,0.25,0.11,0.283,0.285,0.431,0.441,0.148,0.156,0.152,0.081423279,27.87118837,11.70589912,117.0589912,114.4836934,0.117058991
20230607,spring,3,SPH,shade_low,artikutza,10,,,0.25,0.11,0.286,0.297,0.442,0.448,0.156,0.151,0.1535,0.082226798,28.14623299,11.82141786,118.2141786,115.6134666,0.118214179
20230607,spring,4,SPH,shade_low,artikutza,10,,,0.25,0.11,0.318,0.325,0.552,0.589,0.234,0.264,0.249,0.133384187,45.65740727,19.17611105,191.7611105,187.5423661,0.191761111
20230607,spring,5,SPH,shade_low,artikutza,10,,,0.25,0.11,0.298,0.297,0.501,0.483,0.203,0.186,0.1945,0.104189656,35.66411933,14.97893012,149.7893012,146.4939366,0.149789301
20230607,spring,1,BPH,shade_low,artikutza,10,,,0.25,0.11,0.295,0.293,0.454,0.45,0.159,0.157,0.158,0.084637356,28.97136686,12.16797408,121.6797408,119.0027865,0.121679741
20230607,spring,2,BPH,shade_low,artikutza,10,,,0.25,0.11,0.288,0.29,0.408,0.418,0.12,0.128,0.124,0.066424254,22.73702209,9.549549279,95.49549279,93.39459195,0.095495493
20230607,spring,3,BPH,shade_low,artikutza,10,,,0.25,0.11,0.306,0.308,0.555,0.54,0.249,0.232,0.2405,0.128830912,44.09882108,18.52150485,185.2150485,181.1403175,0.185215049
20230607,spring,4,BPH,shade_low,artikutza,10,,,0.25,0.11,0.325,0.321,0.552,0.502,0.227,0.181,0.204,0.109278611,37.40606861,15.71054881,157.1054881,153.6491674,0.157105488
20230607,spring,5,BPH,shade_low,artikutza,10,,,0.25,0.11,0.508,0.491,1.9498,1.9196,1.4418,1.4286,1.4352,0.76880717,263.1626944,110.5283317,1105.283317,1080.967084,1.105283317
20230608,spring,1,LPH,shade_low,bertiz,1.8,10,0.5,0.25,0.015,0.354,0.347,0.384,0.379,0.03,0.032,0.031,0.121777799,41.6845405,17.50750701,8.753753506,8.228528296,
20230608,spring,2,LPH,shade_low,bertiz,1.8,10,0.5,0.25,0.015,0.317,0.321,0.378,0.386,0.061,0.065,0.063,0.247483914,84.71374361,35.57977231,17.78988616,16.72249299,
20230608,spring,3,LPH,shade_low,bertiz,1.8,10,0.5,0.25,0.015,0.334,0.321,0.347,0.34,0.013,0.019,0.016,0.062853057,21.51460155,9.036132651,4.518066326,4.246982346,
20230608,spring,4,LPH,shade_low,bertiz,1.8,10,0.5,0.25,0.015,0.324,0.336,0.353,0.362,0.029,0.026,0.0275,0.108028692,36.97822142,15.53085299,7.765426497,7.299500907,
20230608,spring,5,LPH,shade_low,bertiz,1.8,10,0.5,0.25,0.015,0.316,0.313,0.333,0.33,0.017,0.017,0.017,0.066781373,22.85926415,9.600890942,4.800445471,4.512418743,
20230608,spring,6,LPH,shade_low,bertiz,1.8,10,0.5,0.25,0.015,0.359,0.357,0.43,0.424,0.071,0.067,0.069,0.27105381,92.78171919,38.96832206,19.48416103,18.31511137,
20230608,spring,1,BPH,shade_low,bertiz,10,,,0.25,0.11,0.884,0.974,3.6028,3.7896,2.7188,2.8156,2.7672,1.48233222,507.4023188,213.1089739,2131.089739,2084.205765,2.131089739
20230608,spring,2,BPH,shade_low,bertiz,10,,,0.25,0.11,0.85,0.869,3.6276,0.878,2.7776,0.009,1.3933,0.746362201,255.4797813,107.3015082,1073.015082,1049.40875,1.073015082
20230608,spring,3,BPH,shade_low,bertiz,10,,,0.25,0.11,0.85,0.981,3.315,3.4096,2.465,2.4286,2.4468,1.310700519,448.6527876,188.4341708,1884.341708,1842.88619,1.884341708
20230608,spring,4,BPH,shade_low,bertiz,10,,,0.25,0.11,0.729,0.788,2.7918,2.9,2.0628,2.112,2.0874,1.118177318,382.7520961,160.7558804,1607.558804,1572.19251,1.607558804
