date,season,id_plant,sample_type,light_exposure,long_sph,diam_sph,superfici_sph_cm2
20230531,spring,1,SPH,sun,7.1,0.54,12.04486623
20230531,spring,1,SPH,shade,7.1,0.51,11.375707
20230531,spring,1,SPH,shade_low,7.2,0.6,13.57168026
20230530,spring,2,SPH,sun,4.67,0.8,11.73699015
20230530,spring,2,SPH,shade,9.96,0.5,15.64513141
20230531,spring,2,SPH,shade_low,7.4,0.5,11.62389282
20230530,spring,3,SPH,sun,6.87,0.69,14.89209166
20230531,spring,3,SPH,shade,6.08,0.4,7.640353334
20230531,spring,3,SPH,shade_low,6.64,0.44,9.178477097
20230601,spring,4,SPH,sun,6.43,0.55,11.11024242
20230601,spring,4,SPH,shade,6.67,0.5,10.4772115
20230601,spring,4,SPH,shade_low,7.9,0.5,12.40929098
20230531,spring,5,SPH,sun,6.4,0.56,11.25946807
20230531,spring,5,SPH,shade,7.3,0.55,12.6134945
20230531,spring,5,SPH,shade_low,8.6,0.4,10.80707873
20230601,spring,6,SPH,sun,6,0.9,16.96460033
20230601,spring,6,SPH,shade,5.67,0.62,11.04395481
20230601,spring,6,SPH,shade_low,5.11,0.7,11.23747692
20230823,summer,1,SPH,sun,5.96,0.51,9.54918503
20230823,summer,1,SPH,shade,5.5,0.7,12.09513172
20230823,summer,1,SPH,shade_low,6.8,0.69,14.74035273
20230822,summer,2,SPH,sun,6.63,0.73,15.20499428
20230822,summer,2,SPH,shade,6.11,0.44,8.44585769
20230822,summer,2,SPH,shade_low,6.6,0.52,10.78194599
20230823,summer,3,SPH,sun,5,0.4,6.283185307
20230823,summer,3,SPH,shade,5,0.49,7.696902001
20230823,summer,3,SPH,shade_low,7,,
20230824,summer,5,SPH,sun,6.3,0.51,10.0939372
20230824,summer,5,SPH,shade,6,0.4,7.539822369
20230824,summer,5,SPH,shade_low,7.7,0.54,13.06274225
20230824,summer,6,SPH,sun,4.5,0.63,8.906415173
20230824,summer,6,SPH,shade,6.2,0.47,9.154600993
20230824,summer,6,SPH,shade_low,5.9,0.77,14.27225543
20230904,late_summer,1,SPH,shade_low,5,0.53,8.325220532
20230904,late_summer,2,SPH,shade_low,5.7,0.42,7.520972813
20230904,late_summer,3,SPH,shade_low,4.97,0.5,7.806857744
20230904,late_summer,4,SPH,shade_low,5.1,0.29,4.646415535
20230904,late_summer,5,SPH,shade_low,5.34,0.46,7.717008194
20230904,late_summer,6,SPH,shade_low,6.2,0.49,9.544158482
