date,site,campaign,id_plant,canopy_position,length_wd_cm,diameter_wd_cm,fw_wd_g,dw_wd_g,vol_sample_g,wd_g_cm3
20230607,ART,spring23,ART1,shade_low,6.74,0.55,1.7,1.05,1.6,0.66
20230607,ART,spring23,ART2,shade_low,7.1,0.42,1.26,0.7,0.98,0.71
20230607,ART,spring23,ART3,shade_low,6.36,0.5,1.27,0.76,1.25,0.61
20230607,ART,spring23,ART4,shade_low,6.27,0.49,1.36,0.79,1.18,0.67
20230607,ART,spring23,ART5,shade_low,6.85,0.53,2.12,1.3,1.51,0.86
20230608,BER,spring23,BER1,shade_low,6.45,0.63,1.94,1.19,2.01,0.59
20230608,BER,spring23,BER2,shade_low,7.12,0.44,1.19,0.77,1.08,0.71
20230608,BER,spring23,BER3,shade_low,6.14,0.8,2.87,1.75,3.09,0.57
20230608,BER,spring23,BER4,shade_low,7.1,0.4,1.14,0.69,0.89,0.77
20230608,BER,spring23,BER5,shade_low,7.49,0.5,1.56,0.99,1.47,0.67
20230608,BER,spring23,BER6,shade_low,6.85,0.5,1.31,0.83,1.34,0.61
20230606,ITU,spring23,ITU1,shade_low,5.57,0.64,1.85,1.07,1.79,0.6
20230606,ITU,spring23,ITU2,shade_low,6.95,0.42,1.36,0.77,0.96,0.8
20230606,ITU,spring23,ITU3,shade_low,7.09,0.56,1.96,1.12,1.75,0.64
20230606,ITU,spring23,ITU4,shade_low,6.23,0.51,1.29,0.74,1.27,0.58
20230606,ITU,spring23,ITU5,shade_low,6.51,0.5,1,0.54,1.28,0.42
20230606,ITU,spring23,ITU6,shade_low,6.9,0.43,1.05,0.53,1,0.53
20230615,DIU,spring23,DIU1,shade_low,7.5,0.42,1.07,0.58,1.04,0.56
20230615,DIU,spring23,DIU2,shade_low,6.5,0.46,1.27,0.77,1.08,0.71
20230615,DIU,spring23,DIU3,shade_low,7.17,0.54,1.95,1.18,1.64,0.72
20230615,DIU,spring23,DIU4,shade_low,6.74,0.48,1.3,0.78,1.22,0.64
20230615,DIU,spring23,DIU5,shade_low,7.27,0.61,2.53,1.51,2.12,0.71
20230615,DIU,spring23,DIU6,shade_low,6.87,0.67,2.34,1.42,2.42,0.59
