date,hour_sampled,site,season,id_plant,light_exposure,wp_midday_1,wp_midday_2
20230606,NA,itu,spring,1,shade low,1.35,1.391
20230606,NA,itu,spring,2,shade low,0.93,0.986
20230606,NA,itu,spring,3,shade low,1.134,1.214
20230606,NA,itu,spring,4,shade low,0.947,0.98
20230606,NA,itu,spring,5,shade low,1.086,0.992
20230606,NA,itu,spring,6,shade low,1.01,0.9
20230607,NA,art,spring,1,shade low,1.506,1.612
20230607,NA,art,spring,2,shade low,1.45,1.513
20230607,NA,art,spring,3,shade low,1.701,1.655
20230607,NA,art,spring,4,shade low,1.882,1.758
20230607,NA,art,spring,5,shade low,1.455,1.529
20230608,NA,ber,spring,1,shade low,2.184,2.196
20230608,NA,ber,spring,2,shade low,1.976,1.901
20230608,NA,ber,spring,3,shade low,1.95,2.09
20230608,NA,ber,spring,4,shade low,1.608,1.93
20230608,NA,ber,spring,5,shade low,1.806,1.732
20230608,NA,ber,spring,6,shade low,1.726,1.771
20230615,NA,diu,spring,1,shade low,1.398,1.466
20230615,NA,diu,spring,2,shade low,1.701,1.746
20230615,NA,diu,spring,3,shade low,1.816,1.876
20230615,NA,diu,spring,4,shade low,1.75,1.405
20230615,NA,diu,spring,5,shade low,1.585,1.446
20230615,NA,diu,spring,6,shade low,1.524,1.629
20230829,NA,itu,summer,1,shade low,1.472,1.55
20230829,NA,itu,summer,2,shade low,1.508,1.358
20230829,NA,itu,summer,3,shade low,1.627,2.258
20230829,NA,itu,summer,4,shade low,1.921,1.651
20230829,NA,itu,summer,5,shade low,2.27,3.237
20230829,NA,itu,summer,6,shade low,2.1,2.076
20230830,NA,ber,summer,1,shade low,0.890,0.560
20230830,NA,ber,summer,2,shade low,0.490,NA
20230830,NA,ber,summer,3,shade low,0.590,NA
20230830,NA,ber,summer,4,shade low,NA,NA
20230830,NA,ber,summer,5,shade low,NA,NA
20230830,NA,ber,summer,6,shade low,NA,NA
20230831,NA,art,summer,1,shade low,1.79,1.699
20230831,NA,art,summer,2,shade low,1.916,2.08
20230831,NA,art,summer,3,shade low,1.584,2.242
20230831,NA,art,summer,4,shade low,2.328,2.321
20230831,NA,art,summer,6,shade low,2.367,2.505
20230901,NA,diu,summer,1,shade low,2.4,2.28
20230901,NA,diu,summer,2,shade low,2.518,2.717
20230901,NA,diu,summer,3,shade low,2.261,2.582
20230901,NA,diu,summer,4,shade low,2.118,2.931
20230901,NA,diu,summer,5,shade low,2.443,2.458
20230901,NA,diu,summer,6,shade low,2.732,2.071
