"","site","campaign","d13leaf","d13leaf_se","d13stemP","d13stemP_se","d13baseP","d13baseP_se"
"1","ART","spring23",-32.5153869,0.250258337891322,-32.27603472,0.333854573763306,-27.0668932,0.222039103323392
"2","ART","summer23",-33.0385558,0.208298140639217,-32.5802692,0.374507382108711,-29.16257536,0.319128463460234
"3","BER","spring23",-32.2303819,0.344536209349017,-32.2087156,0.442248368797709,-27.5664596666667,0.441628160527297
"4","BER","summer23",-32.7069500666667,0.410367829193603,-32.5880931333333,0.436658287821708,-28.9657784666667,0.402621835733327
"5","ITU","spring23",-31.676131,0.486624483724414,-32.3968229333333,0.300741722566992,-27.4792311333333,0.266066699462029
"6","ITU","summer23",-32.2397484666667,0.481278164566712,-32.2543274666667,0.481993578601515,-28.8519152666667,0.156180602254541
"7","MSA","spring23",-29.0343023,0.423752346942503,-29.0002370666667,1.26239372977625,-25.622419975,0.279011317202233
"8","MSA","summer23",-30.55791595,0.237243088947792,-30.3892349333333,0.397544957405775,-27.1919096666667,0.227409369404879
"9","DIU","spring23",-30.4509448,0.243596453821056,-31.6076044666667,0.25218324277549,-26.4624115333333,0.35828304348188
"10","DIU","summer23",-30.1289504333333,0.267538801723203,-29.7286952,0.383931150109211,-27.3197560666667,0.280545172476133
"11",NA,"spring23",NA,NA,NA,NA,-27.88011616,0.249892773891159
"12",NA,"summer23",NA,NA,NA,NA,-27.81219776,0.308853993590825
