site,id,dbh_cm,h_m,C_perc_ring23,d13_permil_ring23,C_perc_ring22,d13_permil_ring22
ART,ART1,73.21127382,25.99780986,43.2,-27.6,NA,NA
ART,ART2,57.29577951,29.20848177,NA,NA,NA,NA
ART,ART3,84.35211984,37.20867886,40.3,-27.3,NA,NA
ART,ART3*,NA,NA,41.1,-28.2,NA,NA
ART,ART4,89.12676813,31.61007661,39.8,-28.5,NA,NA
ART,ART5,NA,NA,40.6,-26.5,NA,NA
ART,ART6,63.66197724,37.20867886,NA,NA,NA,NA
BER,BER1,87.85352859,7.799791033,40.9,-27.7,NA,NA
BER,BER2,117.7746579,3.002177535,41.6,-26.8,NA,NA
BER,BER3,92.30986699,3.603957067,41.3,-27.3,NA,NA
BER,BER4,111.4084602,27.00034987,40.5,-26,NA,NA
BER,BER5,175.0704374,27.2051154,38.6,-26.4,NA,NA
BER,BER6,130.5070533,23.99914555,38.9,-27.4,NA,NA
DIU,DIU1,70.02817496,18.00233902,40.7,-26.1,NA,NA
DIU,DIU2,55.70423008,14.00003203,41.6,-28.6,NA,NA
DIU,DIU3,50.29296202,9.000038511,40.6,-26.1,NA,NA
DIU,DIU4,45.51831372,21.99643727,40.2,-24.6,NA,NA
DIU,DIU5,58.88732894,25.59869089,41.3,-26,NA,NA
DIU,DIU6,50.92958179,31.61007661,40.6,-25.4,NA,NA
HMO,HMO1,NA,NA,40.3,-26.9,NA,NA
HMO,HMO2,NA,NA,40.8,-25.3,NA,NA
HMO,HMO3,NA,NA,79.8,-25.5,NA,NA
HMO,HMO4,NA,NA,39.5,-25.8,NA,NA
HMO,HMO5,NA,NA,41,-25.7,NA,NA
ITU,ITU1,1435864.066,22.61001392,39.9,-28.6,NA,NA
ITU,ITU2,112.6816997,26.60982849,42.5,-27.4,NA,NA
ITU,ITU3,87.85352859,22.61001392,42,-26.7,NA,NA
ITU,ITU4,89.7633879,23.61284603,42.6,-28.2,NA,NA
ITU,ITU5,91.67324722,31.61007661,40.4,-27.7,NA,NA
ITU,ITU6,91.03662745,29.60760075,41.4,-28.3,NA,NA
MSA,MSA1,69.0732453,19.2113768,41.1,-27.7,41.3,-24.8
MSA,MSA2,58.56901906,17.9506854,38.8,-26.1,40.5,-26
MSA,MSA3,68.75493542,16.4092215,42.9,-25.8,40.6,-25.6
MSA,MSA4,61.11549815,17.61583528,40.3,-25.5,41.3,-25
MSA,MSA5,64.6169069,21.20912791,38.8,-26.3,39,-25.7
MSA,MSA6,77.34930234,17.61583528,42.8,-25.2,42.2,-25.1
MSA,MSA7,41.3802852,10.00901213,41.5,-24.3,41.9,-23.7
